n,x,y,val,xT,yT,dP,lab
0,-0.97572,-20.439863,0,-0.220439,-0.081702,4992,0
1,-0.978658,-20.413986,0,-0.220439,-0.081702,4995,0
2,-0.97572,-20.403632,0,-0.220439,-0.081702,4999,0
3,-0.969843,-20.419162,0,-0.220439,-0.081702,5004,0
4,-0.969843,-20.434688,0,-0.220439,-0.081702,5007,0
5,-0.969843,-20.42175,0,-0.220439,-0.081702,5005,0
6,-0.969843,-20.408809,0,-0.220439,-0.081702,5001,0
7,-0.963966,-20.406221,0,-0.220439,-0.081702,5002,1
8,-0.955151,-20.419162,0,-0.220439,-0.081702,5006,1
9,-0.946336,-20.434688,0,-0.220439,-0.081702,5008,1
10,-0.946336,-20.439863,0,-0.220439,-0.081702,5005,1
11,-0.95809,-20.434688,0,-0.220439,-0.081702,5002,1
12,-0.969843,-20.424337,0,-0.220439,-0.081702,5003,1
13,-0.966905,-20.416574,0,-0.220439,-0.081702,5009,1
14,-0.955151,-20.42175,0,-0.220439,-0.081702,5015,1
15,-0.943398,-20.426925,0,-0.220439,-0.081702,5016,1
16,-0.943398,-20.434688,0,-0.220439,-0.081702,5013,1
17,-0.95809,-20.434688,0,-0.220439,-0.081702,5010,1
18,-0.966905,-20.429513,0,-0.220439,-0.081702,5011,1
19,-0.963966,-20.426925,0,-0.220439,-0.081702,5010,1
20,-0.949274,-20.416574,0,-0.220439,-0.081702,5009,1
21,-0.937521,-20.406221,0,-0.220439,-0.081702,5009,1
22,-0.937521,-20.401044,0,-0.220439,-0.081702,5007,1
23,-0.937521,-20.406221,0,-0.220439,-0.081702,5005,1
24,-0.937521,-20.413986,0,-0.220439,-0.081702,5002,1
25,-0.937521,-20.419162,0,-0.220439,-0.081702,5001,1
26,-0.916952,-20.419162,0,-0.220439,-0.081702,5001,1
27,-0.896383,-20.419162,0,-0.220439,-0.081702,5002,1
28,-0.890506,-20.42175,0,-0.220439,-0.081702,5003,1
29,-0.905198,-20.426925,0,-0.220439,-0.081702,5005,1
30,-0.91989,-20.439863,0,-0.220439,-0.081702,5007,1
31,-0.911075,-20.455385,0,-0.220439,-0.081702,5007,1
32,-0.896383,-20.455385,0,-0.220439,-0.081702,5006,1
33,-0.872875,-20.445037,0,-0.220439,-0.081702,5006,1
34,-0.858182,-20.437275,0,-0.220439,-0.081702,5005,1
35,-0.849366,-20.439863,0,-0.220439,-0.081702,5004,1
36,-0.846428,-20.439863,0,-0.220439,-0.081702,5005,1
37,-0.846428,-20.439863,0,-0.220439,-0.081702,5006,1
38,-0.846428,-20.445037,0,-0.220439,-0.081702,5006,1
39,-0.849366,-20.447624,0,-0.220439,-0.081702,5004,1
40,-0.849366,-20.452798,0,-0.220439,-0.081702,5001,1
41,-0.846428,-20.452798,0,-0.220439,-0.081702,4999,1
42,-0.843489,-20.452798,0,-0.220439,-0.081702,4998,1
43,-0.837612,-20.468317,0,-0.220439,-0.081702,4997,1
44,-0.831735,-20.483834,0,-0.220439,-0.081702,4997,1
45,-0.831735,-20.494176,0,-0.220439,-0.081702,4999,1
46,-0.831735,-20.489005,0,-0.220439,-0.081702,5001,1
47,-0.828796,-20.499347,0,-0.220439,-0.081702,5002,1
