n,x,y,val,dP,lab,xT,yT
0,-15.902941,7.431526,0,2894,0,NaN,NaN
1,-15.930122,7.477879,0,2892,0,NaN,NaN
2,-15.951862,7.521326,0,2894,0,NaN,NaN
3,-15.970881,7.530014,0,2894,0,NaN,NaN
4,-15.981747,7.535806,0,2895,0,NaN,NaN
5,-15.995328,7.544494,0,2894,0,NaN,NaN
6,-16.003476,7.547389,0,2894,0,NaN,NaN
7,-15.992612,7.544494,0,2891,1,NaN,NaN
8,-15.979031,7.544494,0,2889,1,NaN,NaN
9,-15.973598,7.564764,0,2887,1,NaN,NaN
10,-15.984463,7.602403,0,2886,1,NaN,NaN
11,-15.992612,7.634246,0,2882,1,NaN,NaN
12,-15.992612,7.645824,0,2879,1,NaN,NaN
13,-15.989896,7.645824,0,2878,1,NaN,NaN
14,-15.976314,7.637141,0,2876,1,NaN,NaN
15,-15.962731,7.628457,0,2873,1,NaN,NaN
16,-15.946428,7.616878,0,2871,1,NaN,NaN
17,-15.940993,7.616878,0,2871,1,NaN,NaN
18,-15.924687,7.611088,0,2870,1,NaN,NaN
19,-15.905659,7.602403,0,2869,1,NaN,NaN
20,-15.886628,7.590822,0,2868,1,NaN,NaN
21,-15.883909,7.590822,0,2868,1,NaN,NaN
22,-15.889347,7.596612,0,2868,1,NaN,NaN
23,-15.894785,7.602403,0,2868,1,NaN,NaN
24,-15.908378,7.587927,0,2868,1,NaN,NaN
25,-15.921969,7.570555,0,2869,1,NaN,NaN
26,-15.938275,7.547389,0,2869,1,NaN,NaN
27,-15.94371,7.544494,0,2869,1,NaN,NaN
28,-15.951862,7.547389,0,2869,1,NaN,NaN
29,-15.957297,7.556077,0,2868,1,NaN,NaN
30,-15.960014,7.561868,0,2868,1,NaN,NaN
31,-15.962731,7.564764,0,2868,1,NaN,NaN
32,-15.962731,7.567659,0,2868,1,NaN,NaN
33,-15.965447,7.590822,0,2868,1,NaN,NaN
34,-15.968164,7.613983,0,2868,1,NaN,NaN
35,-15.965447,7.637141,0,2868,1,NaN,NaN
36,-15.957297,7.634246,0,2868,1,NaN,NaN
37,-15.949145,7.616878,0,2866,1,NaN,NaN
38,-15.951862,7.602403,0,2863,1,NaN,NaN
39,-15.95458,7.590822,0,2860,1,NaN,NaN
40,-15.957297,7.596612,0,2859,1,NaN,NaN
41,-15.957297,7.605298,0,2860,1,NaN,NaN
42,-15.962731,7.616878,0,2860,1,NaN,NaN
43,-15.968164,7.628457,0,2857,1,NaN,NaN
44,-15.970881,7.634246,0,2854,1,NaN,NaN
45,-15.970881,7.64293,0,2852,1,NaN,NaN
46,-15.976314,7.654508,0,2852,1,NaN,NaN
47,-15.981747,7.666085,0,2853,1,NaN,NaN
48,-15.98718,7.674767,0,2853,1,NaN,NaN
49,-15.984463,7.671873,0,2853,1,NaN,NaN
50,-15.984463,7.674767,0,2853,1,NaN,NaN
51,-15.98718,7.680555,0,2852,1,NaN,NaN
52,-15.992612,7.7066,0,2853,1,NaN,NaN
53,-15.998044,7.732641,0,2854,1,NaN,NaN
54,-15.998044,7.755786,0,2854,1,NaN,NaN
55,-15.992612,7.764465,0,2854,1,NaN,NaN
56,-15.989896,7.773143,0,2854,1,NaN,NaN
57,-15.98718,7.77025,0,2853,1,NaN,NaN
58,-15.981747,7.764465,0,2852,1,NaN,NaN
59,-15.976314,7.767358,0,2851,1,NaN,NaN
60,-15.979031,7.778929,0,2850,1,NaN,NaN
61,-15.976314,7.781821,0,2849,1,NaN,NaN
62,-15.968164,7.778929,0,2849,1,NaN,NaN
63,-15.957297,7.773143,0,2849,1,NaN,NaN
64,-15.95458,7.784714,0,2849,1,NaN,NaN
65,-15.95458,7.802068,0,2846,1,NaN,NaN
66,-15.935558,7.810745,0,2844,1,NaN,NaN
67,-15.911096,7.799176,0,2844,1,NaN,NaN
68,-15.883909,7.784714,0,2846,1,NaN,NaN
69,-15.878471,7.764465,0,2847,1,NaN,NaN
70,-15.870313,7.75,0,2847,1,NaN,NaN
71,-15.864874,7.726854,0,2846,1,NaN,NaN
72,-15.862155,7.712387,0,2846,1,NaN,NaN
73,-15.859435,7.700812,0,2845,1,NaN,NaN
74,-15.864874,7.697918,0,2844,1,NaN,NaN
75,-15.883909,7.726854,0,2843,1,NaN,NaN
76,-15.905659,7.761572,0,2841,1,NaN,NaN
77,-15.921969,7.796284,0,2840,1,NaN,NaN
78,-15.924687,7.799176,0,2840,1,NaN,NaN
79,-15.930122,7.802068,0,2839,1,NaN,NaN
80,-15.938275,7.787606,0,2839,1,NaN,NaN
81,-15.946428,7.776036,0,2838,1,NaN,NaN
82,-15.946428,7.761572,0,2838,1,NaN,NaN
83,-15.949145,7.776036,0,2838,1,NaN,NaN
84,-15.949145,7.790499,0,2838,1,NaN,NaN
85,-15.949145,7.799176,0,2838,1,NaN,NaN
86,-15.951862,7.793391,0,2837,1,NaN,NaN
87,-15.957297,7.787606,0,2836,1,NaN,NaN
88,-15.962731,7.784714,0,2834,1,NaN,NaN
89,-15.965447,7.796284,0,2834,1,NaN,NaN
90,-15.962731,7.802068,0,2835,1,NaN,NaN
91,-15.960014,7.810745,0,2836,1,NaN,NaN
92,-15.95458,7.81653,0,2837,1,NaN,NaN
93,-15.951862,7.825206,0,2836,1,NaN,NaN
94,-15.949145,7.828098,0,2835,1,NaN,NaN
95,-15.95458,7.836774,0,2834,1,NaN,NaN
96,-15.970881,7.845449,0,2833,1,NaN,NaN
97,-15.98718,7.859907,0,2832,1,NaN,NaN
98,-15.995328,7.862799,0,2831,1,NaN,NaN
99,-15.98718,7.862799,0,2831,1,NaN,NaN
100,-15.979031,7.857016,0,2832,1,NaN,NaN
101,-15.968164,7.851232,0,2832,1,NaN,NaN
102,-15.973598,7.851232,0,2832,1,NaN,NaN
103,-15.981747,7.851232,0,2832,1,NaN,NaN
104,-15.989896,7.851232,0,2832,1,NaN,NaN
