n,x,y,lab
0.0,-17.347897125443197,11.262996117447965,0.0
1.0,-17.30962759247369,11.056486465871638,2.0
2.0,-17.223605210262523,11.012926633199692,2.0
3.0,-16.814062965303354,11.016514994738491,2.0
4.0,-16.738969059521466,10.849207730715102,2.0
5.0,-16.478460947687154,10.836543187969887,2.0
6.0,-16.22113227104132,10.658053684747673,2.0
7.0,-15.957386130247803,10.635772753622794,2.0
8.0,-15.840335031734238,10.840261333090442,2.0
9.0,-15.688116303411793,10.618920056302597,2.0
10.0,-15.4327650362426,10.690382908022006,2.0
11.0,-15.106148419391749,10.513866932163353,2.0
12.0,-14.960819530296833,10.192309251701223,2.0
13.0,-14.452764040215037,10.265579071821547,2.0
14.0,-14.535581081720936,10.188503047708098,2.0
15.0,-14.221423451583117,10.257959990845354,2.0
16.0,-13.85371791759221,10.210389436364254,2.0
17.0,-13.883604764592256,10.21266830149196,2.0
18.0,-13.703870131481283,10.101262602179938,2.0
19.0,-13.471707266724362,10.28058348427118,2.0
20.0,-13.319608715436901,10.17875364107745,2.0
21.0,-13.211737183834193,9.904291205621101,2.0
22.0,-13.194359394793377,10.075670150347523,2.0
23.0,-13.072277305254088,10.257697118717518,2.0
24.0,-13.077582608790308,10.077024420534858,2.0
25.0,-13.146263354624015,9.99185705272169,1.0
26.0,-13.23367354944838,10.110103745343977,1.0
27.0,-13.130506180062829,10.198694152834214,1.0
28.0,-13.278079626243821,10.198233131405292,1.0
29.0,-13.275783412629396,10.010045304594364,1.0
30.0,-13.21305314554892,10.132940633806498,1.0
31.0,-13.390545553324067,10.294890897360583,1.0
32.0,-13.211857264526062,10.09456506327326,1.0
33.0,-13.212372001928983,10.128034823199974,1.0
34.0,-13.301185702156666,10.32161380624888,1.0
35.0,-13.043091936539659,10.093568352071655,1.0
36.0,-13.176331463227612,10.144291204398144,1.0
37.0,-13.338901440110519,10.193752268795603,1.0
38.0,-13.267740323277621,10.067022818443478,1.0
39.0,-13.067773962479404,10.035105448340834,1.0
40.0,-13.129116369381114,10.221125544106881,1.0
41.0,-13.15414353608194,10.081009148036028,1.0
42.0,-13.00003106784523,10.165824188652628,1.0
43.0,-13.169064818097688,10.425513609364044,1.0
44.0,-13.044204778247217,10.147379325481502,1.0
45.0,-13.146567029579955,10.307206036715941,1.0
46.0,-13.183979080298121,10.169416561776833,1.0
47.0,-13.310188024327708,10.094033865673072,1.0
48.0,-13.051383791825911,10.3527197443387,1.0
49.0,-13.137910796567784,10.280124741174284,1.0
50.0,-13.158733306545432,10.201472043985776,1.0
51.0,-12.978269900074721,10.199174320290407,1.0
52.0,-13.241626543967826,10.081659557850635,1.0
53.0,-13.082488999836851,10.32921765254342,1.0
54.0,-12.945185029182598,10.17582691623868,1.0
55.0,-13.100323633387834,10.216145725651756,1.0
56.0,-13.191574035221013,10.268379239903906,1.0
57.0,-13.208807377376155,10.278999459961819,1.0
58.0,-13.07188508539021,10.33883379500918,1.0
59.0,-12.99373254310119,10.375494770903938,1.0
60.0,-13.237837996569695,10.308204219413795,1.0
61.0,-12.93890622476964,10.26540040570611,1.0
62.0,-13.059808449034788,10.216015532932747,1.0
63.0,-13.026344599045602,10.455940062026205,1.0
64.0,-12.929069354297656,10.325921967586941,1.0
65.0,-13.09912561106247,10.35593160394958,1.0
66.0,-13.008913221622285,10.434293114591641,1.0
67.0,-13.024622664086557,10.380858130045297,1.0
68.0,-13.106258153189673,10.403350314327941,1.0
69.0,-13.053600362430787,10.374333289171158,1.0
70.0,-13.109531132592682,10.479877048251682,1.0
71.0,-12.95218936048405,10.347505093748541,1.0
72.0,-13.026043764884834,10.435603643782068,1.0
73.0,-12.77079708039491,10.470987259368899,1.0
74.0,-13.226855768604295,10.22678645965295,1.0
75.0,-13.073973420478083,10.189794586111594,1.0
76.0,-13.230021033835074,10.379916171820957,1.0
77.0,-12.886539370697461,10.018497858129392,1.0
78.0,-13.239462425531865,10.327641406780298,1.0
79.0,-12.913563517857686,10.359684099861251,1.0
80.0,-12.991955620427953,10.392545022426663,1.0
81.0,-13.073597441030982,10.281479258824294,1.0
82.0,-12.858279355460674,10.16748981645148,1.0
83.0,-13.176498352331087,10.253707233082913,1.0
84.0,-13.034617810997092,10.42130934178465,1.0
85.0,-13.1401075492639,10.308573098488445,1.0
86.0,-13.435479766711692,10.44393417507036,1.0
87.0,-13.278294107347884,10.326221600816714,1.0
88.0,-13.109603366915126,10.274082573315797,1.0
89.0,-13.12095533202959,10.324989014544203,1.0
90.0,-13.15600312176622,10.214563635454056,1.0
91.0,-13.107721711694888,10.228595914152498,1.0
92.0,-13.09562502427643,10.342554740630247,1.0
93.0,-13.369502285934729,10.091546490336519,1.0
94.0,-13.245804535730729,10.063355453259831,1.0
95.0,-13.02676183116389,10.32688668921783,1.0
96.0,-13.080684802876187,10.467973045526179,1.0
97.0,-13.08373858728749,10.309613210869093,1.0
98.0,-13.161733109579652,10.317736341201458,1.0
99.0,-13.2585198797526,10.467744776952209,1.0
100.0,-12.967501711504923,10.384341712517886,1.0
101.0,-13.273231740484304,10.34550877549705,1.0
102.0,-13.124704926796822,10.17918270445163,1.0
103.0,-12.991677697837419,10.40591541708652,1.0
104.0,-13.084311145025055,10.075386898046933,1.0
105.0,-13.120077184430254,10.254786410484204,1.0
106.0,-13.11507855901774,10.182911152624747,1.0
107.0,-13.096112715969921,10.13394351839123,1.0
108.0,-13.28023400566581,10.134117400437702,1.0
109.0,-13.087527309118913,10.328617220469221,1.0
110.0,-13.29551038685959,10.136664126002213,1.0
111.0,-13.123801858792396,10.369286938665434,1.0
112.0,-13.074939722419217,10.367005616022409,1.0
113.0,-12.916926952612268,10.218796564972722,1.0
114.0,-12.930878754125825,10.480183865843557,1.0
115.0,-12.911607434667955,10.367404292587842,1.0
116.0,-13.09840858206378,10.306684496458944,1.0
117.0,-13.278828665182393,10.496378684529827,1.0
118.0,-13.297818675785162,10.31584597577428,1.0
119.0,-13.10139519886868,10.263806918494517,1.0
120.0,-13.185460573179913,10.208470794218423,1.0
121.0,-13.354010274345784,10.3811743390449,1.0
122.0,-13.29609399272535,10.212667545832097,1.0
123.0,-13.143628298937267,10.26968408288873,1.0
124.0,-13.12339336268517,10.376289369716591,1.0
125.0,-13.043410760604022,10.327852045985171,1.0
126.0,-13.045130570892365,10.345847101506934,1.0
127.0,-12.975004794199906,10.45068791705665,1.0
128.0,-13.215049661611726,10.26112924754814,1.0
129.0,-13.138166065926889,10.241356972287516,1.0
130.0,-13.014678692338949,10.44465180615289,1.0
131.0,-13.167523749871798,10.441794296710764,1.0
132.0,-13.107688963225737,10.347657655609689,1.0
133.0,-13.26588997731296,10.409135052492205,1.0
134.0,-13.06369513767727,10.388705929161906,1.0
135.0,-13.178809934368884,10.392755321848163,1.0
136.0,-12.99366520921564,10.30764835363171,1.0
137.0,-13.073619922465822,10.17923415560425,1.0
138.0,-13.1769925518817,10.289775680005379,1.0
139.0,-12.969215626068449,10.371936006646386,1.0
140.0,-13.086516268007777,10.38344981404616,1.0
141.0,-13.049391759774073,10.220329512932535,1.0
142.0,-12.982575281516619,10.29498972328753,1.0
143.0,-13.150515441933152,10.415959039371348,1.0
144.0,-13.090226523729541,10.35736993576136,1.0
