n,x,y,lab
0.0,-14.75433425110878,9.518474739640306,0.0
1.0,-14.758482227339007,9.500477794993804,1.0
2.0,-14.766856217302017,9.492418214806495,1.0
3.0,-14.765296049922862,9.480122490694761,1.0
4.0,-14.771705270407487,9.481469626248074,1.0
5.0,-14.769066691389035,9.48174637244016,1.0
6.0,-14.777923941498573,9.48338093100504,1.0
7.0,-14.78339810389087,9.484606239916893,1.0
8.0,-14.77874905753792,9.474663322822934,1.0
9.0,-14.764295241352267,9.460447773314787,1.0
10.0,-14.75017167841858,9.44432806777801,1.0
11.0,-14.740687484540338,9.427514097235715,1.0
12.0,-14.74260120462554,9.427114455522947,1.0
13.0,-14.772177500617635,9.435892076942999,1.0
14.0,-14.806153599122414,9.441146814820058,1.0
15.0,-14.839628581786735,9.441277426913631,1.0
16.0,-14.821300587566485,9.446938027612022,1.0
17.0,-14.814574487834234,9.45515509321871,1.0
18.0,-14.812761723235123,9.450941786184119,1.0
19.0,-14.784406122487475,9.437663546764798,1.0
20.0,-14.75420010058698,9.41820451314183,1.0
21.0,-14.736746523786781,9.406408298155005,1.0
22.0,-14.736816572344376,9.395846218953103,1.0
23.0,-14.73925694104459,9.39267286271326,1.0
24.0,-14.739871281945929,9.400722244847385,1.0
25.0,-14.741336891441447,9.4102953864404,1.0
26.0,-14.731914606507768,9.41902496509823,1.0
27.0,-14.740240971661374,9.405638790388666,1.0
28.0,-14.746941550239097,9.40398463501016,1.0
29.0,-14.756385240238572,9.402185607936389,1.0
30.0,-14.756716897493066,9.394547267312346,1.0
31.0,-14.758754418364965,9.38041068534132,1.0
32.0,-14.757929415539136,9.363081267316648,1.0
33.0,-14.74855268292485,9.315400056716088,1.0
34.0,-14.742471957472317,9.273843080940427,1.0
35.0,-14.730484111323019,9.242138942555513,1.0
36.0,-14.727981346202528,9.23720028743889,1.0
37.0,-14.71803377470994,9.246338675017691,1.0
38.0,-14.709984805491391,9.252516558937515,1.0
39.0,-14.71322335721753,9.273478689934329,1.0
40.0,-14.70852713608911,9.280005444286356,1.0
41.0,-14.71724936311355,9.265608852499737,1.0
42.0,-14.72028759000403,9.244464296805754,1.0
43.0,-14.724855768926819,9.211182242617504,1.0
44.0,-14.722094304693039,9.193743142551998,1.0
45.0,-14.720428662734024,9.183509253126113,1.0
46.0,-14.737637593758807,9.182059991019948,1.0
47.0,-14.749325702706233,9.185028541352757,1.0
48.0,-14.750389570075317,9.154838887682068,1.0
49.0,-14.742776301976082,9.119802104614655,1.0
50.0,-14.733081430983214,9.107871477397257,1.0
51.0,-14.74023057181158,9.11855792836635,1.0
52.0,-14.755832893379344,9.136792118620724,1.0
53.0,-14.774190136133463,9.132681038324373,1.0
54.0,-14.792678047116251,9.145543423617111,1.0
55.0,-14.790244420755576,9.13775200307476,1.0
56.0,-14.797097314221867,9.126420989954969,1.0
57.0,-14.80234343114749,9.110397531378498,1.0
58.0,-14.80883074502256,9.094947655320688,1.0
59.0,-14.807649216539598,9.08094646834828,1.0
60.0,-14.806750396504306,9.049235101248392,1.0
61.0,-14.803317035367066,9.013336313107434,1.0
62.0,-14.798964654632034,9.000338030768239,1.0
63.0,-14.80595587735496,8.998566228839028,1.0
64.0,-14.800980283442723,9.011691760926919,1.0
65.0,-14.791334802536321,9.02161398573157,1.0
66.0,-14.772949531782158,9.015863948875685,1.0
67.0,-14.766278206099871,9.000095321329168,1.0
68.0,-14.756769176483283,8.979846553054537,1.0
69.0,-14.75052574058978,8.964937335419288,1.0
