n,x,y,lab
0.0,-11.061769,8.446039,0.0
1.0,-11.061769,8.446039,1.0
2.0,-11.061769,8.446039,1.0
3.0,-11.0646,8.446039,1.0
4.0,-11.058938,8.443156,1.0
5.0,-11.056107,8.434507,1.0
6.0,-11.044782,8.42874,1.0
7.0,-11.041951,8.414323,1.0
8.0,-11.036288,8.402789,1.0
9.0,-11.041951,8.391253,1.0
10.0,-11.047613,8.385485,1.0
11.0,-11.041951,8.379717,1.0
12.0,-11.030625,8.376833,1.0
13.0,-11.044782,8.388369,1.0
14.0,-11.070262,8.399905,1.0
15.0,-11.101398,8.411439,1.0
16.0,-11.115548,8.411439,1.0
17.0,-11.129697,8.417207,1.0
18.0,-11.104228,8.422973,1.0
19.0,-11.070262,8.425857,1.0
20.0,-11.033456,8.422973,1.0
21.0,-11.030625,8.422973,1.0
22.0,-11.036288,8.425857,1.0
23.0,-11.047613,8.431624,1.0
24.0,-11.058938,8.434507,1.0
25.0,-11.078754,8.42874,1.0
26.0,-11.098567,8.42009,1.0
27.0,-11.092907,8.402789,1.0
28.0,-11.067431,8.391253,1.0
29.0,-11.044782,8.379717,1.0
30.0,-11.044782,8.385485,1.0
31.0,-11.044782,8.399905,1.0
32.0,-11.044782,8.42009,1.0
33.0,-11.044782,8.431624,1.0
34.0,-11.050445,8.43739,1.0
35.0,-11.058938,8.43739,1.0
36.0,-11.067431,8.434507,1.0
37.0,-11.073093,8.431624,1.0
38.0,-11.073093,8.42874,1.0
39.0,-11.067431,8.42874,1.0
40.0,-11.061769,8.414323,1.0
41.0,-11.0646,8.399905,1.0
42.0,-11.070262,8.388369,1.0
43.0,-11.078754,8.391253,1.0
44.0,-11.067431,8.394137,1.0
45.0,-11.058938,8.397021,1.0
46.0,-11.047613,8.417207,1.0
47.0,-11.047613,8.434507,1.0
48.0,-11.050445,8.448922,1.0
49.0,-11.078754,8.446039,1.0
50.0,-11.107058,8.446039,1.0
51.0,-11.115548,8.443156,1.0
52.0,-11.090076,8.43739,1.0
53.0,-11.067431,8.42874,1.0
54.0,-11.061769,8.425857,1.0
55.0,-11.056107,8.425857,1.0
56.0,-11.053276,8.425857,1.0
57.0,-11.056107,8.425857,1.0
58.0,-11.058938,8.42874,1.0
59.0,-11.0646,8.417207,1.0
60.0,-11.070262,8.408556,1.0
61.0,-11.075923,8.394137,1.0
62.0,-11.081585,8.388369,1.0
63.0,-11.081585,8.402789,1.0
64.0,-11.098567,8.414323,1.0
65.0,-11.115548,8.425857,1.0
66.0,-11.109888,8.42009,1.0
67.0,-11.087246,8.417207,1.0
68.0,-11.078754,8.42009,1.0
69.0,-11.092907,8.42009,1.0
70.0,-11.095737,8.425857,1.0
71.0,-11.084415,8.42874,1.0
72.0,-11.075923,8.42874,1.0
73.0,-11.075923,8.422973,1.0
74.0,-11.073093,8.422973,1.0
75.0,-11.067431,8.425857,1.0
76.0,-11.061769,8.431624,1.0
77.0,-11.061769,8.434507,1.0
78.0,-11.067431,8.43739,1.0
79.0,-11.073093,8.434507,1.0
80.0,-11.078754,8.434507,1.0
81.0,-11.078754,8.43739,1.0
82.0,-11.075923,8.43739,1.0
83.0,-11.073093,8.440273,1.0
84.0,-11.073093,8.440273,1.0
85.0,-11.073093,8.43739,1.0
86.0,-11.0646,8.43739,1.0
87.0,-11.056107,8.43739,1.0
88.0,-11.036288,8.43739,1.0
89.0,-11.02213,8.414323,1.0
90.0,-11.024961,8.391253,1.0
91.0,-11.044782,8.365297,1.0
92.0,-11.053276,8.362412,1.0
93.0,-11.044782,8.353759,1.0
94.0,-11.036288,8.34799,1.0
95.0,-11.033456,8.339336,1.0
96.0,-11.030625,8.339336,1.0
97.0,-11.024961,8.350875,1.0
98.0,-11.027793,8.373949,1.0
99.0,-11.02213,8.394137,1.0
100.0,-11.019298,8.399905,1.0
101.0,-11.019298,8.394137,1.0
102.0,-11.027793,8.388369,1.0
103.0,-11.033456,8.385485,1.0
104.0,-11.036288,8.385485,1.0
105.0,-11.027793,8.388369,1.0
106.0,-11.02213,8.394137,1.0
107.0,-11.019298,8.394137,1.0
108.0,-11.016466,8.402789,1.0
109.0,-11.013634,8.411439,1.0
110.0,-11.019298,8.422973,1.0
111.0,-11.024961,8.434507,1.0
112.0,-11.030625,8.43739,1.0
113.0,-11.027793,8.43739,1.0
114.0,-11.027793,8.425857,1.0
115.0,-11.013634,8.417207,1.0
116.0,-11.002306,8.411439,1.0
117.0,-10.990977,8.405672,1.0
118.0,-10.990977,8.405672,1.0
119.0,-10.993809,8.402789,1.0
120.0,-10.990977,8.405672,1.0
121.0,-10.98248,8.405672,1.0
122.0,-10.971149,8.408556,1.0
123.0,-10.971149,8.411439,1.0
124.0,-10.98248,8.414323,1.0
125.0,-10.993809,8.414323,1.0
126.0,-11.002306,8.417207,1.0
127.0,-11.005138,8.425857,1.0
128.0,-11.005138,8.431624,1.0
129.0,-11.016466,8.422973,1.0
130.0,-11.027793,8.408556,1.0
131.0,-11.016466,8.394137,1.0
132.0,-10.999474,8.388369,1.0
133.0,-10.999474,8.382601,1.0
134.0,-11.019298,8.394137,1.0
135.0,-11.036288,8.411439,1.0
136.0,-11.030625,8.417207,1.0
137.0,-11.024961,8.405672,1.0
138.0,-11.033456,8.397021,1.0
139.0,-11.044782,8.414323,1.0
140.0,-11.041951,8.431624,1.0
141.0,-11.02213,8.43739,1.0
142.0,-11.005138,8.422973,1.0
143.0,-10.999474,8.411439,1.0
144.0,-11.00797,8.405672,1.0
145.0,-11.013634,8.402789,1.0
146.0,-11.02213,8.399905,1.0
147.0,-11.024961,8.397021,1.0
148.0,-11.02213,8.397021,1.0
149.0,-11.019298,8.397021,1.0
150.0,-11.016466,8.397021,1.0
151.0,-11.019298,8.397021,1.0
152.0,-11.019298,8.394137,1.0
153.0,-11.016466,8.394137,1.0
154.0,-11.010802,8.397021,1.0
155.0,-11.005138,8.402789,1.0
156.0,-11.002306,8.411439,1.0
157.0,-11.005138,8.42009,1.0
158.0,-11.013634,8.431624,1.0
159.0,-11.024961,8.43739,1.0
160.0,-11.033456,8.43739,1.0
161.0,-11.041951,8.425857,1.0
162.0,-11.047613,8.399905,1.0
163.0,-11.047613,8.373949,1.0
164.0,-11.033456,8.356644,1.0
165.0,-11.016466,8.353759,1.0
166.0,-10.996642,8.353759,1.0
167.0,-10.996642,8.350875,1.0
168.0,-10.993809,8.368181,1.0
169.0,-10.993809,8.385485,1.0
170.0,-10.990977,8.405672,1.0
171.0,-10.990977,8.402789,1.0
172.0,-11.00797,8.402789,1.0
173.0,-11.030625,8.379717,1.0
174.0,-11.041951,8.362412,1.0
175.0,-11.033456,8.34799,1.0
176.0,-11.024961,8.350875,1.0
177.0,-11.02213,8.356644,1.0
178.0,-11.016466,8.356644,1.0
179.0,-11.010802,8.359528,1.0
180.0,-11.010802,8.362412,1.0
181.0,-11.013634,8.368181,1.0
182.0,-11.019298,8.362412,1.0
183.0,-11.019298,8.353759,1.0
184.0,-11.033456,8.34799,1.0
185.0,-11.053276,8.34799,1.0
186.0,-11.070262,8.353759,1.0
187.0,-11.075923,8.359528,1.0
188.0,-11.081585,8.362412,1.0
189.0,-11.084415,8.376833,1.0
190.0,-11.081585,8.391253,1.0
191.0,-11.075923,8.405672,1.0
192.0,-11.070262,8.397021,1.0
193.0,-11.0646,8.391253,1.0
194.0,-11.058938,8.385485,1.0
195.0,-11.053276,8.385485,1.0
196.0,-11.058938,8.385485,1.0
197.0,-11.0646,8.382601,1.0
198.0,-11.070262,8.379717,1.0
199.0,-11.073093,8.368181,1.0
200.0,-11.087246,8.365297,1.0
201.0,-11.104228,8.368181,1.0
202.0,-11.126868,8.379717,1.0
203.0,-11.135356,8.385485,1.0
204.0,-11.149504,8.385485,1.0
205.0,-11.155162,8.385485,1.0
206.0,-11.132527,8.388369,1.0
207.0,-11.109888,8.388369,1.0
208.0,-11.084415,8.388369,1.0
209.0,-11.087246,8.391253,1.0
210.0,-11.075923,8.391253,1.0
211.0,-11.0646,8.379717,1.0
212.0,-11.056107,8.368181,1.0
213.0,-11.061769,8.359528,1.0
214.0,-11.081585,8.350875,1.0
215.0,-11.095737,8.339336,1.0
216.0,-11.115548,8.345106,1.0
217.0,-11.121208,8.356644,1.0
218.0,-11.121208,8.371065,1.0
219.0,-11.112718,8.359528,1.0
220.0,-11.090076,8.345106,1.0
221.0,-11.070262,8.336452,1.0
222.0,-11.053276,8.336452,1.0
223.0,-11.047613,8.342221,1.0
224.0,-11.061769,8.345106,1.0
225.0,-11.078754,8.34799,1.0
226.0,-11.075923,8.350875,1.0
227.0,-11.056107,8.356644,1.0
228.0,-11.036288,8.359528,1.0
229.0,-11.036288,8.362412,1.0
230.0,-11.039119,8.333567,1.0
231.0,-11.036288,8.307603,1.0
232.0,-11.036288,8.281635,1.0
233.0,-11.033456,8.281635,1.0
234.0,-11.033456,8.278749,1.0
235.0,-11.030625,8.272978,1.0
236.0,-11.027793,8.264321,1.0
237.0,-11.019298,8.258549,1.0
238.0,-11.005138,8.252778,1.0
239.0,-10.996642,8.247006,1.0
240.0,-10.990977,8.22103,1.0
241.0,-10.990977,8.197937,1.0
242.0,-10.956985,8.177729,1.0
243.0,-10.925818,8.14597,1.0
244.0,-10.894645,8.111317,1.0
245.0,-10.852126,8.076658,2.0
246.0,-10.781234,8.07377,2.0
247.0,-10.667737,8.067992,2.0
248.0,-10.559837,8.030437,2.0
249.0,-10.431962,7.992875,2.0
250.0,-10.275528,7.943745,2.0
251.0,-10.084753,7.926402,2.0
252.0,-9.848108,7.877256,2.0
253.0,-9.605407,7.833882,2.0
254.0,-9.36522,7.761572,2.0
255.0,-9.110373,7.660296,2.0
256.0,-8.852292,7.521326,2.0
257.0,-8.544992,7.332995,2.0
258.0,-8.231438,7.118393,2.0
259.0,-7.885667,6.854216,2.0
260.0,-7.539316,6.615916,2.0
261.0,-7.183731,6.377385,2.0
262.0,-6.78412,6.223094,2.0
263.0,-6.424481,6.112414,2.0
264.0,-6.035268,6.007517,2.0
265.0,-5.686243,5.823851,2.0
266.0,-5.336794,5.497039,2.0
267.0,-4.986946,5.102638,2.0
268.0,-4.619205,4.622864,2.0
269.0,-4.227696,4.160027,2.0
270.0,-3.876755,3.620345,2.0
271.0,-3.502097,3.094709,2.0
272.0,-3.112486,2.506794,2.0
273.0,-2.716721,1.897746,2.0
274.0,-2.376448,1.229364,2.0
275.0,-2.033072,0.560647,2.0
276.0,-1.698359,-0.125902,2.0
277.0,-1.387031,-0.847767,2.0
278.0,-1.131445,-1.566419,2.0
279.0,-0.88169,-2.249273,2.0
280.0,-0.617208,-2.905038,2.0
281.0,-0.379151,-3.615809,2.0
