n,x,y,lab
0.0,-16.206952,6.214357,0.0
1.0,-16.187979,6.217269,1.0
2.0,-16.182557,6.231829,1.0
3.0,-16.187979,6.240565,1.0
4.0,-16.1934,6.234741,1.0
5.0,-16.201532,6.228918,1.0
6.0,-16.209662,6.231829,1.0
7.0,-16.206952,6.231829,1.0
8.0,-16.187979,6.231829,1.0
9.0,-16.160867,6.226006,1.0
10.0,-16.141885,6.223094,1.0
11.0,-16.141885,6.205621,1.0
12.0,-16.152733,6.191059,1.0
13.0,-16.163579,6.176497,1.0
14.0,-16.155444,6.202709,1.0
15.0,-16.150021,6.226006,1.0
16.0,-16.150021,6.243477,1.0
17.0,-16.160867,6.231829,1.0
18.0,-16.16629,6.220182,1.0
19.0,-16.169002,6.214357,1.0
20.0,-16.158156,6.211445,1.0
21.0,-16.150021,6.208533,1.0
22.0,-16.144597,6.208533,1.0
23.0,-16.150021,6.211445,1.0
24.0,-16.163579,6.214357,1.0
25.0,-16.171713,6.217269,1.0
26.0,-16.163579,6.220182,1.0
27.0,-16.158156,6.220182,1.0
28.0,-16.158156,6.217269,1.0
29.0,-16.158156,6.208533,1.0
30.0,-16.155444,6.196884,1.0
31.0,-16.133749,6.185235,1.0
32.0,-16.125612,6.188147,1.0
33.0,-16.141885,6.196884,1.0
34.0,-16.182557,6.191059,1.0
35.0,-16.223212,6.17941,1.0
36.0,-16.201532,6.164847,1.0
37.0,-16.163579,6.167759,1.0
38.0,-16.125612,6.164847,1.0
39.0,-16.141885,6.161934,1.0
40.0,-16.160867,6.164847,1.0
41.0,-16.187979,6.176497,1.0
42.0,-16.198821,6.182322,1.0
43.0,-16.196111,6.182322,1.0
44.0,-16.185268,6.199796,1.0
45.0,-16.171713,6.217269,1.0
46.0,-16.169002,6.228918,1.0
47.0,-16.158156,6.217269,1.0
48.0,-16.152733,6.205621,1.0
49.0,-16.144597,6.202709,1.0
50.0,-16.150021,6.205621,1.0
51.0,-16.152733,6.205621,1.0
52.0,-16.150021,6.208533,1.0
53.0,-16.150021,6.208533,1.0
54.0,-16.155444,6.211445,1.0
55.0,-16.16629,6.214357,1.0
56.0,-16.179846,6.220182,1.0
57.0,-16.185268,6.220182,1.0
58.0,-16.187979,6.217269,1.0
59.0,-16.16629,6.211445,1.0
60.0,-16.144597,6.205621,1.0
61.0,-16.122899,6.202709,1.0
62.0,-16.122899,6.188147,1.0
63.0,-16.122899,6.173585,1.0
64.0,-16.125612,6.156109,1.0
65.0,-16.133749,6.156109,1.0
66.0,-16.139173,6.159021,1.0
67.0,-16.152733,6.156109,1.0
68.0,-16.158156,6.164847,1.0
69.0,-16.163579,6.173585,1.0
70.0,-16.163579,6.182322,1.0
71.0,-16.163579,6.173585,1.0
72.0,-16.158156,6.161934,1.0
73.0,-16.147309,6.156109,1.0
74.0,-16.141885,6.159021,1.0
75.0,-16.141885,6.170672,1.0
76.0,-16.150021,6.17941,1.0
77.0,-16.158156,6.173585,1.0
78.0,-16.160867,6.167759,1.0
79.0,-16.163579,6.161934,1.0
80.0,-16.185268,6.170672,1.0
81.0,-16.204242,6.176497,1.0
82.0,-16.185268,6.17941,1.0
83.0,-16.147309,6.159021,1.0
84.0,-16.109336,6.135719,1.0
85.0,-16.109336,6.11824,1.0
86.0,-16.112048,6.11824,1.0
87.0,-16.136461,6.115327,1.0
88.0,-16.158156,6.112414,1.0
89.0,-16.171713,6.109501,1.0
90.0,-16.171713,6.106587,1.0
91.0,-16.169002,6.106587,1.0
92.0,-16.163579,6.106587,1.0
93.0,-16.158156,6.109501,1.0
94.0,-16.150021,6.112414,1.0
95.0,-16.150021,6.115327,1.0
96.0,-16.139173,6.112414,1.0
97.0,-16.131036,6.106587,1.0
98.0,-16.120187,6.100761,1.0
99.0,-16.114761,6.097847,1.0
100.0,-16.109336,6.115327,1.0
101.0,-16.068634,6.132806,1.0
102.0,-16.027915,6.150283,1.0
103.0,-15.984463,6.170672,1.0
104.0,-15.916533,6.188147,2.0
105.0,-15.805027,6.240565,2.0
106.0,-15.649802,6.272593,2.0
107.0,-15.488882,6.339548,2.0
108.0,-15.292166,6.362833,2.0
109.0,-15.067677,6.386115,2.0
110.0,-14.790521,6.397756,2.0
111.0,-14.471328,6.406486,2.0
112.0,-14.115283,6.403576,2.0
113.0,-13.844053,6.391936,2.0
114.0,-13.56941,6.391936,2.0
115.0,-13.305265,6.400666,2.0
116.0,-13.015434,6.391936,2.0
117.0,-12.783639,6.380295,2.0
118.0,-12.657788,6.371564,2.0
119.0,-12.540216,6.380295,2.0
120.0,-12.439353,6.386115,2.0
121.0,-12.335608,6.391936,2.0
122.0,-12.293525,6.383205,1.0
123.0,-12.293525,6.374474,1.0
124.0,-12.282301,6.362833,1.0
125.0,-12.245815,6.359922,1.0
126.0,-12.20932,6.362833,1.0
127.0,-12.19528,6.374474,1.0
128.0,-12.192472,6.386115,1.0
129.0,-12.189664,6.386115,1.0
130.0,-12.189664,6.383205,1.0
131.0,-12.206512,6.380295,1.0
132.0,-12.226165,6.383205,1.0
133.0,-12.22055,6.377385,1.0
134.0,-12.19528,6.391936,1.0
135.0,-12.158771,6.409396,1.0
136.0,-12.147535,6.426855,1.0
137.0,-12.139108,6.423945,1.0
138.0,-12.144726,6.412306,1.0
139.0,-12.153153,6.400666,1.0
140.0,-12.161579,6.383205,1.0
141.0,-12.147535,6.380295,1.0
142.0,-12.136298,6.374474,1.0
143.0,-12.116632,6.374474,1.0
144.0,-12.105393,6.377385,1.0
145.0,-12.094152,6.394846,1.0
146.0,-12.102583,6.409396,1.0
147.0,-12.116632,6.406486,1.0
148.0,-12.13068,6.391936,1.0
149.0,-12.133489,6.389026,1.0
150.0,-12.136298,6.400666,1.0
151.0,-12.139108,6.409396,1.0
152.0,-12.139108,6.406486,1.0
153.0,-12.141917,6.403576,1.0
154.0,-12.144726,6.400666,1.0
155.0,-12.139108,6.389026,1.0
156.0,-12.12787,6.380295,1.0
157.0,-12.091342,6.423945,1.0
158.0,-12.071669,6.473406,1.0
159.0,-12.060426,6.528674,1.0
160.0,-12.07448,6.534491,1.0
161.0,-12.080101,6.5374,1.0
162.0,-12.080101,6.5374,1.0
163.0,-12.080101,6.5374,1.0
164.0,-12.080101,6.5374,1.0
165.0,-12.07729,6.540308,1.0
166.0,-12.091342,6.543217,1.0
167.0,-12.102583,6.546125,1.0
168.0,-12.116632,6.546125,1.0
169.0,-12.113822,6.5374,1.0
170.0,-12.111012,6.528674,1.0
171.0,-12.111012,6.519949,1.0
172.0,-12.096963,6.519949,1.0
173.0,-12.085722,6.519949,1.0
174.0,-12.07448,6.528674,1.0
175.0,-12.063237,6.5374,1.0
176.0,-12.046371,6.546125,1.0
177.0,-12.029503,6.543217,1.0
178.0,-12.02388,6.546125,1.0
179.0,-12.018256,6.549033,1.0
180.0,-12.018256,6.551942,1.0
181.0,-12.021068,6.551942,1.0
182.0,-12.018256,6.551942,1.0
183.0,-12.001385,6.549033,1.0
184.0,-11.984511,6.546125,1.0
185.0,-11.967635,6.531583,1.0
186.0,-11.967635,6.51704,1.0
187.0,-11.976073,6.502496,1.0
188.0,-11.990136,6.496678,1.0
189.0,-12.001385,6.49086,1.0
190.0,-12.001385,6.496678,1.0
191.0,-12.001385,6.508314,1.0
192.0,-12.018256,6.522857,1.0
193.0,-12.035126,6.525766,1.0
194.0,-12.04356,6.522857,1.0
195.0,-12.032314,6.502496,1.0
196.0,-12.018256,6.485042,1.0
197.0,-12.018256,6.496678,1.0
198.0,-12.015444,6.519949,1.0
199.0,-12.015444,6.540308,1.0
200.0,-12.015444,6.531583,1.0
201.0,-11.998572,6.522857,1.0
202.0,-11.978886,6.51704,1.0
203.0,-11.942317,6.511223,1.0
204.0,-11.925436,6.502496,1.0
205.0,-11.92825,6.499587,1.0
206.0,-11.950757,6.487951,1.0
207.0,-11.97326,6.482133,1.0
208.0,-11.97326,6.505405,1.0
209.0,-11.967635,6.5374,1.0
210.0,-11.962009,6.566483,1.0
211.0,-11.962009,6.566483,1.0
212.0,-11.967635,6.563575,1.0
213.0,-11.95357,6.569391,1.0
214.0,-11.939504,6.572299,1.0
215.0,-11.95357,6.572299,1.0
216.0,-11.984511,6.560666,1.0
217.0,-12.018256,6.549033,1.0
218.0,-12.02388,6.549033,1.0
219.0,-12.029503,6.551942,1.0
220.0,-12.029503,6.55485,1.0
221.0,-12.026691,6.549033,1.0
222.0,-12.026691,6.540308,1.0
223.0,-12.029503,6.543217,1.0
224.0,-12.029503,6.549033,1.0
225.0,-12.026691,6.55485,1.0
226.0,-12.02388,6.55485,1.0
227.0,-12.021068,6.549033,1.0
228.0,-12.021068,6.543217,1.0
229.0,-12.02388,6.534491,1.0
230.0,-12.032314,6.528674,1.0
231.0,-12.046371,6.522857,1.0
232.0,-12.063237,6.525766,1.0
233.0,-12.07729,6.534491,1.0
234.0,-12.080101,6.5374,1.0
235.0,-12.080101,6.5374,1.0
236.0,-12.080101,6.5374,1.0
237.0,-12.07448,6.546125,1.0
238.0,-12.066048,6.55485,1.0
239.0,-12.060426,6.560666,1.0
240.0,-12.060426,6.560666,1.0
241.0,-12.063237,6.560666,1.0
242.0,-12.057615,6.569391,1.0
243.0,-12.051993,6.581023,1.0
244.0,-12.068858,6.595562,1.0
245.0,-12.094152,6.581023,1.0
246.0,-12.125061,6.499587,2.0
247.0,-12.111012,6.418125,2.0
248.0,-12.07729,6.359922,2.0
249.0,-12.037937,6.368654,1.0
250.0,-12.063237,6.383205,1.0
251.0,-12.122251,6.391936,1.0
252.0,-12.178431,6.391936,1.0
253.0,-12.186856,6.389026,1.0
254.0,-12.184048,6.386115,1.0
255.0,-12.178431,6.391936,1.0
256.0,-12.144726,6.391936,1.0
257.0,-12.108202,6.389026,1.0
258.0,-12.071669,6.391936,1.0
259.0,-12.071669,6.397756,1.0
260.0,-12.080101,6.394846,1.0
261.0,-12.105393,6.377385,1.0
262.0,-12.12787,6.362833,1.0
263.0,-12.144726,6.357012,1.0
264.0,-12.139108,6.357012,1.0
265.0,-12.125061,6.371564,1.0
266.0,-12.122251,6.386115,1.0
267.0,-12.13068,6.368654,1.0
268.0,-12.144726,6.336637,1.0
269.0,-12.111012,6.316261,1.0
270.0,-12.066048,6.34537,1.0
271.0,-12.051993,6.374474,1.0
272.0,-12.080101,6.391936,1.0
273.0,-12.111012,6.394846,1.0
274.0,-12.07729,6.394846,1.0
275.0,-12.04356,6.397756,1.0
276.0,-12.046371,6.406486,1.0
277.0,-12.085722,6.415216,1.0
278.0,-12.125061,6.389026,1.0
279.0,-12.150344,6.357012,1.0
280.0,-12.170005,6.322083,1.0
281.0,-12.184048,6.319172,1.0
282.0,-12.164388,6.330816,1.0
283.0,-12.139108,6.34537,1.0
284.0,-12.116632,6.357012,1.0
285.0,-12.111012,6.354101,1.0
286.0,-12.119442,6.351191,1.0
287.0,-12.125061,6.377385,1.0
288.0,-12.12787,6.403576,1.0
289.0,-12.13068,6.406486,1.0
290.0,-12.13068,6.380295,1.0
291.0,-12.133489,6.354101,1.0
292.0,-12.133489,6.354101,1.0
293.0,-12.136298,6.354101,1.0
294.0,-12.136298,6.351191,1.0
295.0,-12.116632,6.342459,1.0
296.0,-12.096963,6.330816,1.0
297.0,-12.094152,6.319172,1.0
298.0,-12.111012,6.339548,1.0
299.0,-12.122251,6.362833,1.0
300.0,-12.122251,6.377385,1.0
301.0,-12.122251,6.371564,1.0
302.0,-12.136298,6.365743,1.0
303.0,-12.141917,6.365743,1.0
304.0,-12.13068,6.365743,1.0
305.0,-12.113822,6.365743,1.0
306.0,-12.113822,6.365743,1.0
307.0,-12.133489,6.354101,1.0
308.0,-12.153153,6.342459,1.0
309.0,-12.141917,6.333727,1.0
310.0,-12.133489,6.339548,1.0
311.0,-12.125061,6.34537,1.0
312.0,-12.102583,6.359922,1.0
313.0,-12.088532,6.374474,1.0
314.0,-12.07448,6.389026,1.0
315.0,-12.015444,6.435584,2.0
316.0,-11.94513,6.493769,2.0
317.0,-11.87478,6.557758,2.0
318.0,-11.877595,6.581023,1.0
319.0,-11.877595,6.589746,1.0
320.0,-11.877595,6.586839,1.0
321.0,-11.871965,6.578115,1.0
322.0,-11.86915,6.560666,1.0
323.0,-11.866336,6.549033,1.0
324.0,-11.866336,6.540308,1.0
325.0,-11.877595,6.5374,1.0
326.0,-11.886039,6.546125,1.0
327.0,-11.888853,6.563575,1.0
328.0,-11.883224,6.578115,1.0
329.0,-11.880409,6.592654,1.0
330.0,-11.886039,6.601378,1.0
331.0,-11.891667,6.6101,1.0
332.0,-11.902925,6.613008,1.0
333.0,-11.911367,6.601378,1.0
334.0,-11.919809,6.586839,1.0
335.0,-11.911367,6.569391,1.0
336.0,-11.90011,6.566483,1.0
337.0,-11.883224,6.581023,1.0
338.0,-11.877595,6.595562,1.0
339.0,-11.877595,6.595562,1.0
340.0,-11.883224,6.581023,1.0
341.0,-11.891667,6.575207,1.0
342.0,-11.894482,6.586839,1.0
343.0,-11.902925,6.592654,1.0
344.0,-11.914181,6.595562,1.0
345.0,-11.925436,6.601378,1.0
346.0,-11.92825,6.613008,1.0
347.0,-11.916995,6.615916,1.0
348.0,-11.911367,6.607193,1.0
349.0,-11.894482,6.59847,1.0
350.0,-11.883224,6.586839,1.0
351.0,-11.877595,6.581023,1.0
352.0,-11.886039,6.575207,1.0
353.0,-11.894482,6.569391,1.0
354.0,-11.90011,6.575207,1.0
355.0,-11.902925,6.581023,1.0
356.0,-11.905739,6.589746,1.0
357.0,-11.908553,6.589746,1.0
358.0,-11.90011,6.583931,1.0
359.0,-11.894482,6.572299,1.0
360.0,-11.897296,6.566483,1.0
361.0,-11.911367,6.560666,1.0
362.0,-11.922622,6.560666,1.0
363.0,-11.919809,6.569391,1.0
364.0,-11.902925,6.583931,1.0
365.0,-11.888853,6.601378,1.0
366.0,-11.87478,6.607193,1.0
367.0,-11.902925,6.6101,1.0
368.0,-11.933877,6.6101,1.0
369.0,-11.962009,6.613008,1.0
370.0,-11.962009,6.613008,1.0
371.0,-11.962009,6.6101,1.0
372.0,-11.962009,6.607193,1.0
373.0,-11.947944,6.604285,1.0
374.0,-11.93669,6.604285,1.0
375.0,-11.94513,6.59847,1.0
376.0,-11.970448,6.592654,1.0
377.0,-12.001385,6.589746,1.0
378.0,-12.015444,6.583931,1.0
379.0,-12.026691,6.578115,1.0
380.0,-12.029503,6.566483,1.0
381.0,-12.029503,6.560666,1.0
382.0,-12.026691,6.55485,1.0
383.0,-12.026691,6.551942,1.0
384.0,-12.029503,6.551942,1.0
385.0,-12.032314,6.557758,1.0
386.0,-12.021068,6.566483,1.0
387.0,-12.007009,6.575207,1.0
388.0,-12.007009,6.578115,1.0
389.0,-12.02388,6.581023,1.0
390.0,-12.001385,6.583931,1.0
391.0,-11.964822,6.583931,1.0
392.0,-11.92825,6.578115,1.0
393.0,-11.905739,6.531583,1.0
394.0,-11.84663,6.322083,2.0
395.0,-11.731153,6.08328,2.0
396.0,-11.624039,5.826767,2.0
397.0,-11.494264,5.730514,2.0
398.0,-11.401092,5.625473,2.0
399.0,-11.285246,5.558344,2.0
400.0,-11.200422,5.497039,2.0
401.0,-11.118378,5.453241,2.0
402.0,-11.0646,5.435721,1.0
403.0,-11.019298,5.450321,1.0
404.0,-10.979647,5.491199,1.0
405.0,-10.891811,5.558344,2.0
406.0,-10.820938,5.59337,2.0
407.0,-10.764215,5.660491,2.0
408.0,-10.761378,5.698422,1.0
409.0,-10.724496,5.765519,2.0
410.0,-10.63935,5.79177,2.0
411.0,-10.537111,5.780103,2.0
412.0,-10.358031,5.721762,2.0
413.0,-10.167355,5.607963,2.0
414.0,-9.876637,5.529152,2.0
415.0,-9.576831,5.450321,2.0
416.0,-9.156215,5.467841,2.0
417.0,-8.622583,5.534991,2.0
418.0,-8.055745,5.616718,2.0
419.0,-7.400619,5.657573,2.0
420.0,-6.769629,5.651737,2.0
421.0,-6.166038,5.648819,2.0
422.0,-5.785178,5.651737,2.0
423.0,-5.47371,5.663409,2.0
424.0,-5.23188,5.672163,2.0
425.0,-4.937354,5.67508,2.0
426.0,-4.69512,5.651737,2.0
427.0,-4.452718,5.6138,2.0
