n,x,y,lab
0.0,-17.434932071542974,11.055798999999991,2
1.0,-17.276948522569153,11.021735937906309,2
2.0,-17.12675016696196,10.993343714396044,2
3.0,-16.93327847711709,10.94506338092567,2
4.0,-16.73132365166436,10.8910860472951,2
5.0,-16.48300785872138,10.802976928152455,2
6.0,-16.258433913860472,10.720502322321977,2
7.0,-16.017054874406927,10.640830656365845,2
8.0,-15.794140224735122,10.578202414182094,2
9.0,-15.546186174915778,10.509851346861565,2
10.0,-15.289430700038949,10.441469041330816,2
11.0,-15.05123195534189,10.378760349135565,2
12.0,-14.815247443921088,10.3188755599691,2
13.0,-14.61728243591269,10.284648553552222,2
14.0,-14.43825478104221,10.25897224604102,2
15.0,-14.24789668693722,10.227583058020551,2
16.0,-14.026788493357495,10.17620817286456,2
17.0,-13.838509839984363,10.150513281540778,2
18.0,-13.69155329739147,10.133382010056774,2
19.0,-13.574964175019083,10.119103357345583,1
20.0,-13.44158186002468,10.0819747456235,1
21.0,-13.313614297391965,10.061979890559154,1
22.0,-13.232871256061914,10.090543856228532,1
23.0,-13.193871800924532,10.13052636760782,1
24.0,-13.191086875377126,10.164788462461404,1
25.0,-13.199444305705784,10.1704995400757,1
26.0,-13.21058743877704,10.17620835006748,1
27.0,-13.216160066689955,10.170497812091869,1
28.0,-13.216160832843862,10.161933876421966,1
29.0,-13.216160486901847,10.164789243611551,1
30.0,-13.213373604573492,10.173353197722689,1
31.0,-13.213375141146072,10.184772687513084,1
32.0,-13.21337341609125,10.187625641419034,1
33.0,-13.216160863423555,10.204752751701031,1
34.0,-13.21894464521111,10.224729277647182,1
35.0,-13.202230536967765,10.236144731796117,1
36.0,-13.18551403126592,10.230436752072118,1
37.0,-13.166008407868668,10.224730547574184,1
38.0,-13.16322201982863,10.22187472837573,1
39.0,-13.157650338629782,10.221876251716338,1
40.0,-13.157649158657431,10.233290790956234,1
41.0,-13.16043563074122,10.247559278708108,1
42.0,-13.163221484473098,10.276089945721504,1
43.0,-13.149287137327187,10.28464777157285,1
44.0,-13.135351040416309,10.28750340697565,1
45.0,-13.126989418774643,10.276088769828585,1
46.0,-13.13813816171825,10.270384776140656,1
47.0,-13.135351797363258,10.276090606975998,1
48.0,-13.118625601290969,10.284648127607712,1
49.0,-13.101898175182088,10.278942927641038,1
50.0,-13.099110249495634,10.2675317145626,1
51.0,-13.104685526431522,10.258971691086929,1
52.0,-13.110261691681956,10.264679137701648,1
53.0,-13.110262016217002,10.2875027346741,1
54.0,-13.104686623327623,10.30746752935546,1
55.0,-13.09632127330528,10.324582048523515,1
56.0,-13.087956382622616,10.3217285359991,1
57.0,-13.082380297095204,10.31602574099836,1
58.0,-13.079592212691171,10.313174295942089,1
59.0,-13.068434863803612,10.313172544990362,1
60.0,-13.054490229169364,10.31602550718061,1
61.0,-13.043331626908037,10.316025771895738,1
62.0,-13.046121652689536,10.313172555452129,1
63.0,-13.037753564830082,10.307467899859615,1
64.0,-13.032173457406536,10.307466959933118,1
65.0,-13.026593818627118,10.304615546961225,1
66.0,-13.032174255029908,10.307467856538036,1
67.0,-13.037752244781348,10.307467491946449,1
68.0,-13.040542690688554,10.310320948803504,1
69.0,-13.046122347342918,10.304615824093178,1
70.0,-13.054489252009024,10.30746798334324,1
71.0,-13.06006778130044,10.307466636883472,1
72.0,-13.060068717962071,10.307466998788804,1
73.0,-13.057277527728196,10.290355131563365,1
74.0,-13.0544892255797,10.27609055373837,1
75.0,-13.054490701715215,10.258971395773044,1
76.0,-13.06843496092133,10.258972629542184,1
77.0,-13.079590616505136,10.27894210649107,1
78.0,-13.090744749772565,10.298911687641422,1
79.0,-13.090744839062154,10.318877705514732,1
80.0,-13.08795547515038,10.316025453401684,1
81.0,-13.09631990124706,10.316024230918366,1
82.0,-13.107473212072556,10.316025654380216,1
83.0,-13.115837710174532,10.316024560453377,1
84.0,-13.11583768076918,10.318875493483286,1
85.0,-13.11305016205195,10.318877263336256,1
86.0,-13.11026219603048,10.31602465442528,1
87.0,-13.110262984336195,10.310321190992637,1
88.0,-13.104684325557242,10.310320139267978,1
89.0,-13.10189789494977,10.31317193514416,1
90.0,-13.10189715757384,10.313172117678278,1
91.0,-13.101898450815703,10.29891159260085,1
92.0,-13.104685463586094,10.28464815777754,1
93.0,-13.104685395099049,10.28464676900704,1
94.0,-13.104685269140628,10.293205337971909,1
95.0,-13.101898304470552,10.298910335374895,1
96.0,-13.1018971455657,10.29605900598002,1
97.0,-13.1018979930591,10.290354579838128,1
98.0,-13.101897793231286,10.28464761508366,1
99.0,-13.104685603288944,10.287501177372448,1
100.0,-13.110262224221117,10.290353333932616,1
101.0,-13.11583873454985,10.290354371298356,1
102.0,-13.11583778787384,10.290353769757733,1
103.0,-13.113049079181494,10.290354987934236,1
104.0,-13.10747420748243,10.29035299228393,1
105.0,-13.101898143324936,10.29035315802107,1
106.0,-13.099110544715735,10.293206580796586,1
107.0,-13.099110792833995,10.298911477795818,1
108.0,-13.101898746361234,10.307469742826283,1
109.0,-13.104685841334634,10.310321130018442,1
110.0,-13.10747464875503,10.3188775752214,1
111.0,-13.110260804493995,10.321729022816491,1
112.0,-13.110261756322611,10.327434205358069,1
113.0,-13.107474301578236,10.327433048745783,1
114.0,-13.11026191217665,10.330286268577554,1
115.0,-13.11305040169701,10.324581597250708,1
116.0,-13.1158375123965,10.313173832094057,1
117.0,-13.11583806330822,10.301764532947654,1
118.0,-13.115836473031944,10.298909618222622,1
119.0,-13.107474751793706,10.30176321105113,1
120.0,-13.101898368308335,10.298912132485636,1
121.0,-13.104685995177196,10.298909961400838,1
122.0,-13.115838293787643,10.318876673965446,1
123.0,-13.121412843671154,10.344544780705208,1
124.0,-13.113050413353774,10.36450404490491,1
125.0,-13.10189782399794,10.36450297114683,1
126.0,-13.09074496589258,10.361652718366086,1
127.0,-13.087955463554604,10.350247821284004,1
128.0,-13.090746394755016,10.341691782782366,1
129.0,-13.09074596408153,10.333137458088975,1
130.0,-13.09074460531669,10.321729844015632,1
131.0,-13.085169250555223,10.310321607320972,1
132.0,-13.076802450808929,10.293205803034354,1
133.0,-13.071222655438376,10.290353458620835,1
134.0,-13.065646066394136,10.293205405344873,1
135.0,-13.065647117156884,10.304615552321437,1
136.0,-13.065644181266304,10.316024958925128,1
137.0,-13.06843509060127,10.316025228493206,1
138.0,-13.074013396050011,10.310322141439704,1
139.0,-13.07959045518185,10.313173052831267,1
140.0,-13.085168805966676,10.318876628091193,1
141.0,-13.093534078842564,10.327431800809528,1
142.0,-13.099110155748392,10.32743306242745,1
143.0,-13.08795457765164,10.327432599837431,1
144.0,-13.079590612379365,10.333137245017737,1
145.0,-13.074012058620712,10.338840078880146,1
146.0,-13.076802859912268,10.333135726678185,1
147.0,-13.076801582885489,10.32172875475088,1
148.0,-13.076802887245195,10.304615801200294,1
149.0,-13.07959084723323,10.298909895928707,1
150.0,-13.082378419304616,10.296059271222129,1
151.0,-13.085169178192055,10.298910215962795,1
152.0,-13.08516740886196,10.304615538948738,1
153.0,-13.08795600550442,10.307467640309792,1
154.0,-13.090744755703897,10.313173104411469,1
155.0,-13.093532752097143,10.316025065062838,1
156.0,-13.096322328780523,10.316023913446555,1
157.0,-13.10189869995584,10.31602632925859,1
158.0,-13.110262288514756,10.31317357765646,1
159.0,-13.115837685318152,10.310320082069753,1
160.0,-13.113050786045894,10.307467447516272,1
161.0,-13.107474970500848,10.313172819556268,1
162.0,-13.107475206690983,10.32172930560121,1
163.0,-13.10189766763222,10.330285477186312,1
164.0,-13.096320369733045,10.335988021744408,1
165.0,-13.09074583581562,10.335988374456178,1
166.0,-13.08516900139652,10.33884057077958,1
167.0,-13.087955901840328,10.338839481904737,1
168.0,-13.09632153603025,10.341691881514803,1
169.0,-13.104684317485566,10.344544664722385,1
170.0,-13.10468528554505,10.344542866409403,1
171.0,-13.107474231121229,10.34454350150106,1
172.0,-13.104684514253677,10.350248712907929,1
173.0,-13.104685459481743,10.35880129510775,1
174.0,-13.104685003370264,10.350247077676263,1
175.0,-13.104686578484497,10.330284916917993,1
176.0,-13.10468596237174,10.324580639849948,1
177.0,-13.110263561918718,10.333137044537311,1
178.0,-13.115837801836342,10.344543545137286,1
179.0,-13.121411889885158,10.344543611948428,1
180.0,-13.121413488719387,10.344544717090889,1
181.0,-13.12141255874682,10.34454361564312,1
182.0,-13.1186264775666,10.350246899229935,1
183.0,-13.115838788668896,10.361652221609193,1
184.0,-13.11305126666327,10.367356444271945,1
185.0,-13.113049825628622,10.373058047702225,1
186.0,-13.115837226052534,10.381611045006178,1
187.0,-13.12141358931216,10.39016359667946,1
188.0,-13.12419982059875,10.387312052633606,1
189.0,-13.124200627126442,10.378758983539491,1
190.0,-13.124202380119172,10.3759095069818,1
191.0,-13.126987815511011,10.384461190043986,1
192.0,-13.129775301594416,10.378759818937764,1
193.0,-13.132564354376411,10.36450332245848,1
194.0,-13.135349581317342,10.347394262942904,1
195.0,-13.138138962452617,10.347394281674855,1
196.0,-13.13813926260753,10.350245664738624,1
197.0,-13.13813947564708,10.353098044796964,1
198.0,-13.138139136866872,10.361652348693784,1
199.0,-13.140925140630172,10.367355146468324,1
200.0,-13.1464989907781,10.367355327286417,1
201.0,-13.14928694019326,10.36450505313121,1
202.0,-13.146500924755602,10.358801260855415,1
203.0,-13.14371178479737,10.3559488765669,1
204.0,-13.138138922448032,10.353097705584457,1
205.0,-13.135351157873965,10.358801660215065,1
206.0,-13.14650001214115,10.367354119200511,1
207.0,-13.160433940608662,10.370206571810758,1
208.0,-13.168796362658178,10.364503599920749,1
209.0,-13.163220259498663,10.358801268756537,1
210.0,-13.16322246954291,10.36450415702989,1
211.0,-13.16322250920665,10.370207178380578,1
212.0,-13.16322105690052,10.37020613266268,1
213.0,-13.1604338708257,10.364504609676208,1
214.0,-13.16322213616599,10.358801102937534,1
215.0,-13.163221920324862,10.367355409869546,1
216.0,-13.163222533142724,10.375908665946314,1
217.0,-13.1660093840145,10.378762098044534,1
218.0,-13.168795248735742,10.370206608086855,1
219.0,-13.174368413366135,10.367354563944396,1
220.0,-13.177154644230546,10.373057733891605,1
221.0,-13.179941497952552,10.375908876365568,1
222.0,-13.182728607644552,10.37305894485169,1
223.0,-13.185513194836584,10.358801845188474,1
224.0,-13.18272828638082,10.347396464836926,1
225.0,-13.18272866969312,10.338840152072247,1
226.0,-13.182729031912892,10.33884065036836,1
227.0,-13.182729669786871,10.338838674733273,1
228.0,-13.182727746709574,10.338839482780372,1
229.0,-13.182727688126809,10.330285841050726,1
230.0,-13.182729403857504,10.3245811195017,1
231.0,-13.182726884898816,10.318876487378134,1
232.0,-13.179941276257797,10.318876430028917,1
233.0,-13.17715512283658,10.318876649039058,1
234.0,-13.17436776514875,10.318877160868194,1
235.0,-13.174368912478837,10.318876094520752,1
236.0,-13.17436917381205,10.32172847630171,1
237.0,-13.174369004465028,10.324581436592696,1
238.0,-13.174369053862724,10.32743275672282,1
239.0,-13.177155028056712,10.330285827486067,1
240.0,-13.18272793887636,10.34454405182435,1
241.0,-13.188300736550495,10.358801926853673,1
242.0,-13.188300175681352,10.358800464043314,1
243.0,-13.19108596402031,10.341692134758723,1
244.0,-13.185512642484724,10.327433993404954,1
245.0,-13.18272728764432,10.330285117823362,1
246.0,-13.17994176863189,10.330285502204722,1
247.0,-13.182728812259494,10.333136990521904,1
248.0,-13.185513892420117,10.330286669480332,1
249.0,-13.185514072517934,10.330284396864982,1
250.0,-13.185513987075316,10.335989637826083,1
251.0,-13.1855136501091,10.341692737667652,1
252.0,-13.179942676766723,10.344544902795576,1
253.0,-13.168795786931298,10.341692117791126,1
254.0,-13.157649416839032,10.347396114894297,1
255.0,-13.146499956188851,10.355948100562724,1
256.0,-13.14371293895294,10.34739438783617,1
257.0,-13.140926427611335,10.330284313844604,1
258.0,-13.143712791241292,10.30461643345267,1
259.0,-13.160434521785614,10.298912479420563,1
260.0,-13.174369456899974,10.304615735373734,1
261.0,-13.18830238158657,10.318876783706884,1
262.0,-13.188300598199096,10.330285734657648,1
263.0,-13.177155866505164,10.32458047036841,1
264.0,-13.166009610007794,10.321728894012267,1
265.0,-13.157648670255169,10.32172951998852,1
266.0,-13.171581898005083,10.324580512111392,1
267.0,-13.185513445309542,10.324579911081038,1
268.0,-13.18551357502575,10.321729466996777,1
269.0,-13.179941669223927,10.32743339503041,1
270.0,-13.174369017885091,10.33883906135746,1
271.0,-13.17436776356531,10.350246370493114,1
272.0,-13.1743686334705,10.347396114316158,1
273.0,-13.171581854980683,10.34169350221133,1
274.0,-13.182727857313296,10.338839568829377,1
275.0,-13.199445860535246,10.341691519306384,1
276.0,-13.202231424007715,10.344543228550268,1
277.0,-13.188300414279915,10.344543565933416,1
278.0,-13.177155064710057,10.33598971887394,1
279.0,-13.177154601018191,10.333138152718282,1
280.0,-13.17715474423854,10.33028526035666,1
281.0,-13.182729362166366,10.350245606541222,1
282.0,-13.19665907915098,10.370205311459006,1
283.0,-13.210589109152826,10.375909318693068,1
284.0,-13.216158712398284,10.361653115849604,1
285.0,-13.210588085071748,10.34739333636523,1
286.0,-13.207802524951802,10.35309778811906,1
287.0,-13.207803022684576,10.361652113168878,1
288.0,-13.210587245749752,10.361652248499986,1
289.0,-13.213373244909716,10.361652850872913,1
290.0,-13.213374732105535,10.358800030204348,1
291.0,-13.210588081979168,10.355950729745388,1
292.0,-13.210589081650175,10.35309744477344,1
293.0,-13.213374287074137,10.35024630868139,1
294.0,-13.218944504801309,10.350245397687344,1
295.0,-13.218945245416814,10.353098780979414,1
296.0,-13.221731253529017,10.361651989343155,1
297.0,-13.218945854832256,10.36735467983555,1
298.0,-13.216160996971793,10.370205647063864,1
299.0,-13.21337351211876,10.36165332975594,1
300.0,-13.210587561174778,10.353098409142598,1
301.0,-13.21337427924361,10.344543361284746,1
302.0,-13.21615963079516,10.341691633932676,1
303.0,-13.216159221533855,10.338841447807807,1
304.0,-13.216159543496888,10.34454454585415,1
305.0,-13.21616021965841,10.355950728882709,1
306.0,-13.21616090815697,10.367354512554076,1
307.0,-13.227301043991565,10.378760209567124,1
308.0,-13.238441912345584,10.381611395687036,1
309.0,-13.249581379755757,10.381610209166396,1
310.0,-13.246797518449226,10.378759646051614,1
311.0,-13.24958188958154,10.381610794432891,1
312.0,-13.252366147256923,10.390162623773984,1
313.0,-13.260719484465596,10.398714933476562,1
