n,x,y,lab
0.0,-14.760293,9.518311,1
1.0,-14.765789,9.50398,1
2.0,-14.765789,9.489648,1
3.0,-14.765789,9.481048,1
4.0,-14.771286,9.478182,1
5.0,-14.774034,9.481048,1
6.0,-14.77953,9.486782,1
7.0,-14.785026,9.486782,1
8.0,-14.776782,9.481048,1
9.0,-14.763041,9.46098,1
10.0,-14.749298,9.443777,1
11.0,-14.743801,9.42944,1
12.0,-14.743801,9.42944,1
13.0,-14.774034,9.435175,1
14.0,-14.804258,9.438043,1
15.0,-14.831728,9.44091,1
16.0,-14.823488,9.449512,1
17.0,-14.8125,9.455246,1
18.0,-14.809753,9.452379,1
19.0,-14.782278,9.435175,1
20.0,-14.754796,9.415102,1
21.0,-14.732805,9.406498,1
22.0,-14.738303,9.397894,1
23.0,-14.741052,9.392158,1
24.0,-14.741052,9.397894,1
25.0,-14.738303,9.409366,1
26.0,-14.732805,9.41797,1
27.0,-14.738303,9.412234,1
28.0,-14.74655,9.406498,1
29.0,-14.757544,9.400762,1
30.0,-14.757544,9.395026,1
31.0,-14.757544,9.383553,1
32.0,-14.757544,9.363474,1
33.0,-14.749298,9.31757,1
34.0,-14.741052,9.274523,1
35.0,-14.730056,9.240079,1
36.0,-14.727307,9.237208,1
37.0,-14.721808,9.24582,1
38.0,-14.71356,9.254432,1
39.0,-14.71356,9.271653,1
40.0,-14.71081,9.280264,1
41.0,-14.71356,9.265913,1
42.0,-14.719059,9.242949,1
43.0,-14.721808,9.21137,1
44.0,-14.724557,9.197014,1
45.0,-14.724557,9.182656,1
46.0,-14.735554,9.179785,1
47.0,-14.749298,9.185528,1
48.0,-14.749298,9.15681,1
49.0,-14.743801,9.122342,1
50.0,-14.735554,9.105106,1
51.0,-14.738303,9.11947,1
52.0,-14.754796,9.136705,1
53.0,-14.774034,9.139577,1
54.0,-14.793269,9.142449,1
55.0,-14.793269,9.136705,1
56.0,-14.796016,9.128087,1
57.0,-14.801511,9.110852,1
58.0,-14.807006,9.096487,1
59.0,-14.807006,9.079249,1
60.0,-14.804258,9.04764,1
61.0,-14.801511,9.016026,1
62.0,-14.798764,8.998779,1
