n,x,y,lab
0.0,-14.760293,9.518311,0.0
1.0,-14.765789,9.50398,1.0
2.0,-14.765789,9.489648,1.0
3.0,-14.765789,9.481048,1.0
4.0,-14.771286,9.478182,1.0
5.0,-14.774034,9.481048,1.0
6.0,-14.77953,9.486782,1.0
7.0,-14.785026,9.486782,1.0
8.0,-14.776782,9.481048,1.0
9.0,-14.763041,9.46098,1.0
10.0,-14.749298,9.443777,1.0
11.0,-14.743801,9.42944,1.0
12.0,-14.743801,9.42944,1.0
13.0,-14.774034,9.435175,1.0
14.0,-14.804258,9.438043,1.0
15.0,-14.831728,9.44091,1.0
16.0,-14.823488,9.449512,1.0
17.0,-14.8125,9.455246,1.0
18.0,-14.809753,9.452379,1.0
19.0,-14.782278,9.435175,1.0
20.0,-14.754796,9.415102,1.0
21.0,-14.732805,9.406498,1.0
22.0,-14.738303,9.397894,1.0
23.0,-14.741052,9.392158,1.0
24.0,-14.741052,9.397894,1.0
25.0,-14.738303,9.409366,1.0
26.0,-14.732805,9.41797,1.0
27.0,-14.738303,9.412234,1.0
28.0,-14.74655,9.406498,1.0
29.0,-14.757544,9.400762,1.0
30.0,-14.757544,9.395026,1.0
31.0,-14.757544,9.383553,1.0
32.0,-14.757544,9.363474,1.0
33.0,-14.749298,9.31757,1.0
34.0,-14.741052,9.274523,1.0
35.0,-14.730056,9.240079,1.0
36.0,-14.727307,9.237208,1.0
37.0,-14.721808,9.24582,1.0
38.0,-14.71356,9.254432,1.0
39.0,-14.71356,9.271653,1.0
40.0,-14.71081,9.280264,1.0
41.0,-14.71356,9.265913,1.0
42.0,-14.719059,9.242949,1.0
43.0,-14.721808,9.21137,1.0
44.0,-14.724557,9.197014,1.0
45.0,-14.724557,9.182656,1.0
46.0,-14.735554,9.179785,1.0
47.0,-14.749298,9.185528,1.0
48.0,-14.749298,9.15681,1.0
49.0,-14.743801,9.122342,1.0
50.0,-14.735554,9.105106,1.0
51.0,-14.738303,9.11947,1.0
52.0,-14.754796,9.136705,1.0
53.0,-14.774034,9.139577,1.0
54.0,-14.793269,9.142449,1.0
55.0,-14.793269,9.136705,1.0
56.0,-14.796016,9.128087,1.0
57.0,-14.801511,9.110852,1.0
58.0,-14.807006,9.096487,1.0
59.0,-14.807006,9.079249,1.0
60.0,-14.804258,9.04764,1.0
61.0,-14.801511,9.016026,1.0
62.0,-14.798764,8.998779,1.0
63.0,-14.804258,8.998779,1.0
64.0,-14.804258,9.010277,1.0
65.0,-14.790521,9.0189,1.0
66.0,-14.774034,9.016026,1.0
67.0,-14.763041,8.998779,1.0
68.0,-14.757544,8.978656,1.0
69.0,-14.749298,8.964281,1.0
70.0,-14.730056,8.94703,1.0
71.0,-14.724557,8.938404,1.0
72.0,-14.757544,8.941279,1.0
73.0,-14.801511,8.94703,1.0
74.0,-14.831728,8.941279,1.0
75.0,-14.823488,8.929777,1.0
76.0,-14.815247,8.918274,1.0
77.0,-14.817994,8.918274,1.0
78.0,-14.817994,8.92115,1.0
79.0,-14.815247,8.912522,1.0
80.0,-14.8125,8.901018,1.0
81.0,-14.815247,8.89239,1.0
82.0,-14.815247,8.89239,1.0
83.0,-14.834474,8.863625,1.0
84.0,-14.856445,8.834856,1.0
85.0,-14.864682,8.806082,1.0
86.0,-14.842714,8.806082,1.0
87.0,-14.8125,8.794572,1.0
88.0,-14.757544,8.774426,1.0
89.0,-14.71081,8.754279,1.0
90.0,-14.644798,8.737008,2.0
91.0,-14.584252,8.711098,2.0
92.0,-14.465817,8.659268,2.0
93.0,-14.350013,8.613185,2.0
94.0,-14.21752,8.59302,2.0
95.0,-14.093166,8.621826,2.0
96.0,-13.918843,8.644868,2.0
97.0,-13.694327,8.647748,2.0
98.0,-13.455482,8.624707,2.0
99.0,-13.177155,8.569972,2.0
100.0,-12.892609,8.523867,2.0
101.0,-12.551418,8.471985,2.0
102.0,-12.301943,8.454688,2.0
103.0,-12.054804,8.46622,2.0
104.0,-11.85226,8.518103,2.0
105.0,-11.604298,8.56709,2.0
106.0,-11.35872,8.584377,2.0
107.0,-11.169307,8.610304,2.0
108.0,-10.993809,8.639108,2.0
109.0,-10.883308,8.688064,2.0
110.0,-10.798251,8.70534,2.0
111.0,-10.730171,8.722614,2.0
112.0,-10.684767,8.734129,1.0
113.0,-10.645028,8.739886,1.0
114.0,-10.653544,8.734129,1.0
115.0,-10.659222,8.719735,1.0
116.0,-10.664899,8.702461,1.0
117.0,-10.690444,8.696702,1.0
118.0,-10.747194,8.685185,1.0
119.0,-10.806759,8.653508,2.0
120.0,-10.866301,8.627587,2.0
121.0,-10.908816,8.604543,1.0
122.0,-10.948485,8.607424,1.0
123.0,-10.976815,8.604543,1.0
124.0,-10.999474,8.607424,1.0
125.0,-11.047613,8.616065,1.0
126.0,-11.087246,8.618946,1.0
127.0,-11.112718,8.621826,1.0
128.0,-11.109888,8.630467,1.0
129.0,-11.109888,8.665027,1.0
130.0,-11.107058,8.696702,1.0
131.0,-11.095737,8.725493,1.0
132.0,-11.073093,8.737008,1.0
133.0,-11.010802,8.745643,2.0
134.0,-10.951319,8.745643,1.0
135.0,-10.903148,8.742765,1.0
136.0,-10.89748,8.739886,1.0
137.0,-10.87197,8.737008,1.0
138.0,-10.843621,8.73125,1.0
139.0,-10.809595,8.716856,1.0
140.0,-10.792579,8.70534,1.0
141.0,-10.772725,8.682305,1.0
142.0,-10.761378,8.667907,1.0
143.0,-10.758542,8.650628,1.0
144.0,-10.752868,8.650628,1.0
145.0,-10.744357,8.647748,1.0
146.0,-10.74152,8.647748,1.0
147.0,-10.744357,8.647748,1.0
148.0,-10.750031,8.647748,1.0
149.0,-10.755705,8.641988,1.0
150.0,-10.758542,8.636228,1.0
151.0,-10.750031,8.627587,1.0
152.0,-10.744357,8.627587,1.0
153.0,-10.74152,8.633347,1.0
154.0,-10.747194,8.647748,1.0
155.0,-10.744357,8.662148,1.0
156.0,-10.738683,8.659268,1.0
157.0,-10.730171,8.653508,1.0
158.0,-10.738683,8.647748,1.0
159.0,-10.767052,8.662148,1.0
160.0,-10.798251,8.685185,1.0
161.0,-10.806759,8.702461,1.0
162.0,-10.789743,8.716856,1.0
163.0,-10.772725,8.722614,1.0
164.0,-10.769888,8.688064,1.0
165.0,-10.772725,8.647748,1.0
166.0,-10.772725,8.610304,1.0
167.0,-10.772725,8.618946,1.0
168.0,-10.778398,8.636228,1.0
169.0,-10.78407,8.650628,1.0
170.0,-10.786907,8.656388,1.0
171.0,-10.786907,8.656388,1.0
172.0,-10.801087,8.665027,1.0
173.0,-10.815267,8.670787,1.0
174.0,-10.826609,8.673667,1.0
175.0,-10.809595,8.667907,1.0
176.0,-10.803923,8.667907,1.0
177.0,-10.798251,8.673667,1.0
178.0,-10.803923,8.676546,1.0
179.0,-10.795415,8.676546,1.0
180.0,-10.792579,8.676546,1.0
181.0,-10.789743,8.662148,1.0
182.0,-10.818102,8.650628,1.0
183.0,-10.852126,8.639108,1.0
184.0,-10.87197,8.641988,1.0
185.0,-10.849291,8.644868,1.0
186.0,-10.823773,8.647748,1.0
187.0,-10.806759,8.653508,1.0
188.0,-10.801087,8.662148,1.0
189.0,-10.792579,8.670787,1.0
190.0,-10.789743,8.659268,1.0
191.0,-10.786907,8.644868,1.0
192.0,-10.78407,8.630467,1.0
193.0,-10.78407,8.627587,1.0
194.0,-10.78407,8.624707,1.0
195.0,-10.786907,8.624707,1.0
196.0,-10.792579,8.624707,1.0
197.0,-10.795415,8.624707,1.0
198.0,-10.801087,8.610304,1.0
199.0,-10.801087,8.601662,1.0
200.0,-10.801087,8.610304,1.0
201.0,-10.801087,8.630467,1.0
202.0,-10.806759,8.644868,1.0
203.0,-10.820938,8.639108,1.0
204.0,-10.83228,8.633347,1.0
205.0,-10.83228,8.627587,1.0
206.0,-10.823773,8.630467,1.0
207.0,-10.815267,8.630467,1.0
208.0,-10.815267,8.627587,1.0
209.0,-10.812431,8.624707,1.0
210.0,-10.806759,8.604543,1.0
211.0,-10.803923,8.581496,1.0
212.0,-10.801087,8.56709,1.0
213.0,-10.801087,8.569972,1.0
214.0,-10.801087,8.572853,1.0
215.0,-10.801087,8.56709,1.0
216.0,-10.792579,8.561328,1.0
217.0,-10.78407,8.555565,1.0
218.0,-10.775561,8.555565,1.0
219.0,-10.778398,8.558446,1.0
220.0,-10.772725,8.555565,1.0
221.0,-10.769888,8.54692,1.0
222.0,-10.769888,8.541157,1.0
223.0,-10.778398,8.54692,1.0
224.0,-10.775561,8.558446,1.0
225.0,-10.778398,8.581496,1.0
226.0,-10.778398,8.601662,1.0
227.0,-10.778398,8.613185,1.0
228.0,-10.775561,8.613185,1.0
229.0,-10.778398,8.613185,1.0
230.0,-10.78407,8.610304,1.0
231.0,-10.781234,8.601662,1.0
232.0,-10.767052,8.59302,1.0
233.0,-10.755705,8.59302,1.0
234.0,-10.755705,8.595901,1.0
235.0,-10.755705,8.601662,1.0
236.0,-10.755705,8.613185,1.0
237.0,-10.738683,8.618946,1.0
238.0,-10.724496,8.621826,1.0
239.0,-10.74152,8.639108,1.0
240.0,-10.775561,8.662148,1.0
241.0,-10.812431,8.670787,1.0
242.0,-10.812431,8.659268,1.0
243.0,-10.801087,8.633347,1.0
244.0,-10.772725,8.616065,1.0
245.0,-10.74152,8.610304,1.0
246.0,-10.727334,8.621826,1.0
247.0,-10.727334,8.636228,1.0
248.0,-10.727334,8.636228,1.0
249.0,-10.727334,8.627587,1.0
250.0,-10.724496,8.618946,1.0
251.0,-10.730171,8.618946,1.0
252.0,-10.74152,8.630467,1.0
253.0,-10.755705,8.641988,1.0
254.0,-10.764215,8.647748,1.0
255.0,-10.775561,8.653508,1.0
256.0,-10.789743,8.659268,1.0
257.0,-10.809595,8.662148,1.0
258.0,-10.820938,8.665027,1.0
259.0,-10.806759,8.662148,1.0
260.0,-10.786907,8.659268,1.0
261.0,-10.761378,8.667907,1.0
262.0,-10.755705,8.676546,1.0
263.0,-10.761378,8.670787,1.0
264.0,-10.769888,8.656388,1.0
265.0,-10.781234,8.621826,1.0
266.0,-10.78407,8.601662,1.0
267.0,-10.78407,8.598781,1.0
268.0,-10.781234,8.616065,1.0
269.0,-10.775561,8.633347,1.0
270.0,-10.769888,8.636228,1.0
271.0,-10.778398,8.639108,1.0
272.0,-10.786907,8.633347,1.0
273.0,-10.775561,8.627587,1.0
274.0,-10.750031,8.621826,1.0
275.0,-10.733008,8.621826,1.0
276.0,-10.744357,8.618946,1.0
277.0,-10.758542,8.613185,1.0
278.0,-10.769888,8.604543,1.0
279.0,-10.775561,8.601662,1.0
280.0,-10.786907,8.595901,1.0
281.0,-10.795415,8.590139,1.0
282.0,-10.806759,8.59302,1.0
283.0,-10.809595,8.595901,1.0
284.0,-10.809595,8.595901,1.0
285.0,-10.809595,8.595901,1.0
286.0,-10.792579,8.59302,1.0
287.0,-10.772725,8.59302,1.0
288.0,-10.761378,8.595901,1.0
289.0,-10.764215,8.601662,1.0
290.0,-10.767052,8.607424,1.0
291.0,-10.761378,8.624707,1.0
292.0,-10.769888,8.644868,1.0
293.0,-10.778398,8.665027,1.0
294.0,-10.786907,8.653508,1.0
295.0,-10.786907,8.636228,1.0
296.0,-10.781234,8.618946,1.0
297.0,-10.778398,8.616065,1.0
298.0,-10.775561,8.616065,1.0
299.0,-10.761378,8.616065,1.0
300.0,-10.750031,8.616065,1.0
301.0,-10.738683,8.616065,1.0
302.0,-10.738683,8.618946,1.0
303.0,-10.738683,8.624707,1.0
304.0,-10.74152,8.630467,1.0
305.0,-10.752868,8.639108,1.0
306.0,-10.764215,8.656388,1.0
307.0,-10.764215,8.673667,1.0
308.0,-10.750031,8.670787,1.0
309.0,-10.733008,8.647748,1.0
310.0,-10.74152,8.641988,1.0
311.0,-10.750031,8.656388,1.0
312.0,-10.752868,8.676546,1.0
313.0,-10.74152,8.688064,1.0
314.0,-10.735846,8.696702,1.0
315.0,-10.738683,8.688064,1.0
316.0,-10.74152,8.676546,1.0
317.0,-10.730171,8.662148,1.0
318.0,-10.715984,8.662148,1.0
319.0,-10.701795,8.659268,1.0
320.0,-10.701795,8.659268,1.0
321.0,-10.718821,8.662148,1.0
322.0,-10.738683,8.662148,1.0
323.0,-10.74152,8.650628,1.0
324.0,-10.727334,8.644868,1.0
325.0,-10.704633,8.641988,1.0
326.0,-10.693282,8.644868,1.0
327.0,-10.69612,8.653508,1.0
328.0,-10.707471,8.662148,1.0
329.0,-10.721659,8.665027,1.0
330.0,-10.733008,8.656388,1.0
331.0,-10.738683,8.667907,1.0
332.0,-10.738683,8.688064,1.0
333.0,-10.727334,8.70534,1.0
334.0,-10.707471,8.702461,1.0
335.0,-10.690444,8.693823,1.0
336.0,-10.690444,8.682305,1.0
337.0,-10.698957,8.673667,1.0
338.0,-10.715984,8.667907,1.0
339.0,-10.724496,8.673667,1.0
340.0,-10.718821,8.688064,1.0
341.0,-10.704633,8.693823,1.0
342.0,-10.693282,8.679426,1.0
343.0,-10.698957,8.667907,1.0
344.0,-10.710309,8.667907,1.0
345.0,-10.718821,8.673667,1.0
346.0,-10.718821,8.679426,1.0
347.0,-10.713146,8.679426,1.0
348.0,-10.707471,8.679426,1.0
349.0,-10.707471,8.679426,1.0
350.0,-10.698957,8.679426,1.0
351.0,-10.690444,8.679426,1.0
352.0,-10.687605,8.679426,1.0
353.0,-10.684767,8.679426,1.0
354.0,-10.681929,8.682305,1.0
355.0,-10.676253,8.688064,1.0
356.0,-10.676253,8.690944,1.0
357.0,-10.673414,8.688064,1.0
358.0,-10.670576,8.688064,1.0
359.0,-10.681929,8.685185,1.0
360.0,-10.693282,8.682305,1.0
361.0,-10.698957,8.688064,1.0
362.0,-10.673414,8.699581,1.0
363.0,-10.650706,8.716856,1.0
364.0,-10.650706,8.722614,1.0
365.0,-10.670576,8.716856,1.0
366.0,-10.693282,8.699581,1.0
367.0,-10.701795,8.679426,1.0
368.0,-10.698957,8.676546,1.0
369.0,-10.690444,8.673667,1.0
370.0,-10.69612,8.676546,1.0
371.0,-10.713146,8.682305,1.0
372.0,-10.727334,8.693823,1.0
373.0,-10.721659,8.702461,1.0
374.0,-10.698957,8.702461,1.0
375.0,-10.679091,8.693823,1.0
376.0,-10.659222,8.685185,1.0
377.0,-10.659222,8.682305,1.0
378.0,-10.659222,8.676546,1.0
379.0,-10.645028,8.670787,1.0
380.0,-10.619476,8.662148,1.0
381.0,-10.554156,8.656388,2.0
382.0,-10.471757,8.696702,2.0
383.0,-10.343809,8.734129,2.0
384.0,-10.212911,8.777304,2.0
385.0,-10.042012,8.76867,2.0
386.0,-9.842401,8.7514,2.0
387.0,-9.662545,8.734129,2.0
388.0,-9.425298,8.690944,2.0
389.0,-9.196318,8.639108,2.0
390.0,-8.855162,8.518103,2.0
391.0,-8.484622,8.371065,2.0
392.0,-8.087439,8.232575,2.0
393.0,-7.683698,8.096876,2.0
394.0,-7.325455,7.969756,2.0
395.0,-6.946363,7.787606,2.0
396.0,-6.624667,7.651613,2.0
397.0,-6.354814,7.503948,2.0
398.0,-6.099208,7.330096,2.0
399.0,-5.875353,7.127097,2.0
400.0,-5.703705,6.973278,2.0
401.0,-5.610564,6.842597,2.0
402.0,-5.575629,6.700219,2.0
403.0,-5.546513,6.528674,2.0
404.0,-5.546513,6.394846,2.0
405.0,-5.549425,6.333727,2.0
406.0,-5.584363,6.263859,2.0
407.0,-5.662959,6.220182,2.0
408.0,-5.77354,6.185235,2.0
409.0,-5.875353,6.193972,2.0
410.0,-5.977128,6.196884,2.0
411.0,-6.070147,6.196884,2.0
412.0,-6.139889,6.226006,2.0
413.0,-6.229947,6.281327,2.0
414.0,-6.288032,6.327905,2.0
415.0,-6.372233,6.34537,2.0
416.0,-6.395456,6.394846,1.0
417.0,-6.421579,6.464678,2.0
418.0,-6.409969,6.528674,2.0
419.0,-6.386747,6.551942,1.0
420.0,-6.363524,6.563575,1.0
421.0,-6.343201,6.578115,1.0
422.0,-6.290936,6.583931,1.0
423.0,-6.221233,6.581023,2.0
424.0,-6.139889,6.578115,2.0
425.0,-6.099208,6.566483,1.0
426.0,-6.078865,6.55485,1.0
427.0,-6.073053,6.549033,1.0
428.0,-6.041082,6.534491,1.0
429.0,-6.0062,6.508314,1.0
430.0,-5.956776,6.473406,2.0
431.0,-5.924791,6.453041,1.0
432.0,-5.892802,6.441403,1.0
433.0,-5.857902,6.432674,1.0
434.0,-5.825905,6.435584,1.0
435.0,-5.790996,6.438493,1.0
436.0,-5.782268,6.444312,1.0
437.0,-5.802633,6.432674,1.0
438.0,-5.822996,6.421035,1.0
439.0,-5.834632,6.418125,1.0
440.0,-5.831723,6.423945,1.0
441.0,-5.822996,6.415216,1.0
442.0,-5.817179,6.400666,1.0
443.0,-5.81136,6.391936,1.0
444.0,-5.820088,6.400666,1.0
445.0,-5.822996,6.406486,1.0
446.0,-5.822996,6.400666,1.0
447.0,-5.822996,6.391936,1.0
448.0,-5.837541,6.380295,1.0
449.0,-5.852084,6.386115,1.0
450.0,-5.852084,6.391936,1.0
451.0,-5.846267,6.391936,1.0
452.0,-5.84045,6.391936,1.0
453.0,-5.843358,6.391936,1.0
454.0,-5.849176,6.406486,1.0
455.0,-5.846267,6.415216,1.0
456.0,-5.843358,6.409396,1.0
457.0,-5.84045,6.394846,1.0
458.0,-5.843358,6.383205,1.0
459.0,-5.843358,6.380295,1.0
460.0,-5.843358,6.380295,1.0
461.0,-5.852084,6.371564,1.0
462.0,-5.854993,6.362833,1.0
463.0,-5.857902,6.362833,1.0
464.0,-5.854993,6.368654,1.0
465.0,-5.852084,6.374474,1.0
466.0,-5.837541,6.371564,1.0
467.0,-5.822996,6.371564,1.0
468.0,-5.808451,6.374474,1.0
469.0,-5.820088,6.377385,1.0
470.0,-5.831723,6.377385,1.0
471.0,-5.84045,6.362833,1.0
472.0,-5.84045,6.34828,1.0
473.0,-5.828814,6.336637,1.0
474.0,-5.81136,6.34537,1.0
475.0,-5.799724,6.357012,1.0
476.0,-5.796815,6.365743,1.0
477.0,-5.799724,6.362833,1.0
478.0,-5.81427,6.359922,1.0
479.0,-5.825905,6.351191,1.0
480.0,-5.822996,6.342459,1.0
481.0,-5.808451,6.34828,1.0
482.0,-5.796815,6.357012,1.0
483.0,-5.802633,6.365743,1.0
484.0,-5.808451,6.359922,1.0
485.0,-5.808451,6.351191,1.0
486.0,-5.802633,6.34537,1.0
487.0,-5.796815,6.354101,1.0
488.0,-5.799724,6.362833,1.0
489.0,-5.808451,6.368654,1.0
490.0,-5.820088,6.357012,1.0
491.0,-5.831723,6.351191,1.0
492.0,-5.834632,6.354101,1.0
493.0,-5.834632,6.359922,1.0
494.0,-5.831723,6.371564,1.0
495.0,-5.828814,6.391936,1.0
496.0,-5.825905,6.406486,1.0
497.0,-5.831723,6.409396,1.0
498.0,-5.837541,6.394846,1.0
499.0,-5.846267,6.383205,1.0
500.0,-5.849176,6.371564,1.0
501.0,-5.852084,6.368654,1.0
502.0,-5.852084,6.362833,1.0
503.0,-5.849176,6.359922,1.0
504.0,-5.84045,6.354101,1.0
505.0,-5.834632,6.354101,1.0
