n,x,y,lab
0.0,-17.434949919360605,11.055713007051317,0
1.0,-17.27700175145881,11.021724022061015,1
2.0,-17.126742208383522,10.993328794746903,1
3.0,-16.93328992127117,10.945140944278016,1
4.0,-16.731330316029933,10.89116663990946,1
5.0,-16.48302546187124,10.802943937099782,1
6.0,-16.258430453605573,10.720488291457434,1
7.0,-16.01710369025671,10.640914977316857,1
8.0,-15.794090469042558,10.57826084839611,1
9.0,-15.546227190924549,10.509849888233159,1
10.0,-15.289462588049833,10.441440498252655,1
11.0,-15.051220807480718,10.37883634651837,1
12.0,-14.81523458892038,10.318949360528286,1
13.0,-14.617330796596969,10.284650344056578,1
14.0,-14.438249948304213,10.258948197151367,1
15.0,-14.247956188130527,10.227509785134412,1
16.0,-14.026805718577487,10.17623649283296,1
17.0,-13.838483348413433,10.15044441017619,1
18.0,-13.691563313039236,10.133358615099292,1
19.0,-13.574904086046681,10.11911296116194,1
20.0,-13.441524811909668,10.082026314874375,1
21.0,-13.31359126384225,10.061889431986506,1
22.0,-13.232882670585179,10.090537782899816,1
23.0,-13.193822967826096,10.130464899778602,1
24.0,-13.191138745133292,10.164740364170921,1
25.0,-13.199423851926795,10.170514197040069,1
26.0,-13.210600572252801,10.176154304646863,1
27.0,-13.216193142451525,10.170582981472643,1
28.0,-13.216166127700744,10.161945818788405,1
29.0,-13.216093298183585,10.164766192923478,1
30.0,-13.21335251839753,10.17330652803632,1
31.0,-13.213321542219612,10.184818406772056,1
32.0,-13.2133290430828,10.187579486130119,1
33.0,-13.216154983342209,10.204823368818717,1
34.0,-13.218948192912466,10.22468653922955,1
35.0,-13.202227901578265,10.236124159443824,1
36.0,-13.185495881215912,10.23042695713777,1
37.0,-13.165964064922097,10.224693546126822,1
38.0,-13.163221169186976,10.221912627213642,1
39.0,-13.157646904865889,10.22182983236272,1
40.0,-13.157598549032928,10.233306394878536,1
41.0,-13.160483422901775,10.247541350893291,1
42.0,-13.163171214411369,10.27605933513298,1
43.0,-13.149263284593115,10.284621895114624,1
44.0,-13.13533555063331,10.2875236030997,1
45.0,-13.126958824851254,10.276096461904267,1
46.0,-13.138198006003492,10.27034795411456,1
47.0,-13.135294219424669,10.276067282272583,1
48.0,-13.118574013367313,10.284661352228207,1
49.0,-13.101894698259882,10.27893017303914,1
50.0,-13.099021792015145,10.267585655325883,1
51.0,-13.104687974125014,10.259045116529549,1
52.0,-13.110276552583972,10.26472687839642,1
53.0,-13.11020477107158,10.287451466647505,1
54.0,-13.10463706217135,10.307490944342097,1
55.0,-13.096352062839076,10.324547588875909,1
56.0,-13.087981311578185,10.32171259560858,1
57.0,-13.08243255476504,10.31605486321515,1
58.0,-13.079576066918543,10.313139554639806,1
59.0,-13.068391103798888,10.313202601360615,1
60.0,-13.054500352898668,10.316022234546605,1
61.0,-13.04343611789093,10.31596802401022,1
62.0,-13.046130524599345,10.313122946364684,1
63.0,-13.037812041117105,10.307451004869684,1
64.0,-13.032195222722555,10.30754299656749,1
65.0,-13.026600948777501,10.304634793880746,1
66.0,-13.03222871829454,10.307467843362168,1
67.0,-13.037746283589517,10.307481924575645,1
68.0,-13.040602077874645,10.310287761004593,1
69.0,-13.046176122649165,10.304572037553086,1
70.0,-13.054516464251034,10.307449325941851,1
71.0,-13.060010029260608,10.307477723205816,1
72.0,-13.060086326223539,10.307501801367549,1
73.0,-13.057258382065479,10.290404530287946,1
74.0,-13.05447142847775,10.276094996483955,1
75.0,-13.054472566984273,10.258976615974055,1
76.0,-13.068498468990345,10.25900121325754,1
77.0,-13.079604391586525,10.278945929528764,1
78.0,-13.090786495257362,10.29889126908826,1
79.0,-13.090742627923332,10.318935017025419,1
80.0,-13.087888791480164,10.31600387728374,1
81.0,-13.096324610554138,10.316083804853257,1
82.0,-13.107466224877214,10.316031144527207,1
83.0,-13.11579426330415,10.316023826753893,1
84.0,-13.115816911502359,10.318900437516412,1
85.0,-13.113017017141807,10.318833205531089,1
86.0,-13.11029885457605,10.315993813115284,1
87.0,-13.110219996585071,10.310329386130972,1
88.0,-13.104731491594965,10.31022818872417,1
89.0,-13.10186033875219,10.31316505986561,1
90.0,-13.10191280088591,10.313132805384695,1
91.0,-13.101983303636757,10.298958058644848,1
92.0,-13.104714202077792,10.284631645200392,1
93.0,-13.104649736689918,10.284655047313745,1
94.0,-13.104627516316112,10.293164385697533,1
95.0,-13.101795139612078,10.298870846033973,1
96.0,-13.101811976194728,10.296048954724958,1
97.0,-13.101880929981135,10.290324417982845,1
98.0,-13.10189723647517,10.284587898505475,1
99.0,-13.10468547482422,10.287439173235924,1
100.0,-13.11025784656777,10.290372387964545,1
101.0,-13.11581023138012,10.290250645016135,1
102.0,-13.115837958241915,10.290379916877319,1
103.0,-13.113097875557415,10.290352822534247,1
104.0,-13.107486495381128,10.290296659227868,1
105.0,-13.101845665424076,10.290289887680892,1
106.0,-13.099097245421055,10.293222870381545,1
107.0,-13.099012847574917,10.298860929523478,1
108.0,-13.101882649602864,10.30753326831314,1
109.0,-13.104683488756343,10.310333876362046,1
110.0,-13.107544526880343,10.318911051800585,1
111.0,-13.110211650250715,10.321807901020263,1
112.0,-13.110184337369914,10.327487763380082,1
113.0,-13.10747744448808,10.327420436337208,1
114.0,-13.110265311058962,10.330312318350723,1
115.0,-13.113044663921261,10.32451558344659,1
116.0,-13.115812158324916,10.31313235453002,1
117.0,-13.11584415438307,10.301731090674494,1
118.0,-13.115796059001786,10.298833895939786,1
119.0,-13.10746378882432,10.301780713252588,1
120.0,-13.101960796283189,10.298851816993766,1
121.0,-13.104611930771252,10.29884735128399,1
122.0,-13.115848860906825,10.318882650840452,1
123.0,-13.121368345785992,10.34455977244021,1
124.0,-13.11303179381209,10.364502652642289,1
125.0,-13.101903556147716,10.364566709250457,1
126.0,-13.090713854822551,10.361650722415188,1
127.0,-13.087957287258552,10.350233518406766,1
128.0,-13.090753196746173,10.341711849923591,1
129.0,-13.090735473541473,10.333094724731527,1
130.0,-13.090713159710864,10.32173911779021,1
131.0,-13.08525417715069,10.310325974126211,1
132.0,-13.076775390336003,10.293194864569479,1
133.0,-13.071186312543666,10.290313709613397,1
134.0,-13.06559354451448,10.293209693219092,1
135.0,-13.065603619803827,10.30459931304902,1
136.0,-13.065637045624518,10.3160171556159,1
137.0,-13.068407868021163,10.31599166756688,1
138.0,-13.074050186720617,10.310306604698377,1
139.0,-13.07959280130087,10.313245853513965,1
140.0,-13.085189358667428,10.318776505664577,1
141.0,-13.093495271675078,10.327449573919107,1
142.0,-13.099045334892788,10.327440325715992,1
143.0,-13.087904693176114,10.327378300677102,1
144.0,-13.079573906936876,10.333111585699312,1
145.0,-13.073990896436671,10.338805942593856,1
146.0,-13.076851286267248,10.333122115371571,1
147.0,-13.076795788316106,10.32167546933163,1
148.0,-13.07681889904391,10.304592517813745,1
149.0,-13.079522618043644,10.29891879813468,1
150.0,-13.082389545537504,10.296047654589279,1
151.0,-13.085094772342734,10.298892966091604,1
152.0,-13.085133798760157,10.304558271260943,1
153.0,-13.087892153936414,10.307484397039,1
154.0,-13.090759339200977,10.313147362920839,1
155.0,-13.093532948591415,10.316036662416927,1
156.0,-13.096305584605542,10.316018625990463,1
157.0,-13.101880072488786,10.316074540634935,1
158.0,-13.110261793086773,10.31319660165555,1
159.0,-13.115829965428029,10.310296805816296,1
160.0,-13.113000744518914,10.30743345630692,1
161.0,-13.107524939351213,10.313197787052617,1
162.0,-13.107496063903062,10.321721623963596,1
163.0,-13.10189905298972,10.33025795054103,1
164.0,-13.096300348457019,10.336000361457698,1
165.0,-13.090712717245605,10.336024987481883,1
166.0,-13.08518125695835,10.33874635118474,1
167.0,-13.08786693973042,10.338853584010682,1
168.0,-13.09633212399855,10.341654109139125,1
169.0,-13.10466022969291,10.344550977771428,1
170.0,-13.104679372832033,10.34451149830146,1
171.0,-13.107426145791104,10.344593136536046,1
172.0,-13.104761223774753,10.350206694450366,1
173.0,-13.10473883437733,10.358794611153,1
174.0,-13.10458894604276,10.350254217164204,1
175.0,-13.10459253877915,10.330229832076007,1
176.0,-13.104634548269873,10.324579619996465,1
177.0,-13.110210816912197,10.333105829150819,1
178.0,-13.115881095845788,10.34454095453988,1
179.0,-13.121399664597046,10.344540064449856,1
180.0,-13.121401229354031,10.344537417377639,1
181.0,-13.121428764966542,10.34456862373658,1
182.0,-13.118647775066533,10.350210124354893,1
183.0,-13.115771504278962,10.361679847523797,1
184.0,-13.112985840096004,10.367380151861104,1
185.0,-13.113121481327429,10.373038348785462,1
186.0,-13.115872489033764,10.381521687994699,1
187.0,-13.121411198247706,10.39010335109078,1
188.0,-13.124146034912073,10.387290498713673,1
189.0,-13.124176077628828,10.37871580569576,1
190.0,-13.124166277341194,10.375949570235514,1
191.0,-13.126941781960555,10.384476154640824,1
192.0,-13.129759198828845,10.378773432839393,1
193.0,-13.132513015641019,10.36451814479797,1
194.0,-13.135293279240928,10.34745611867293,1
195.0,-13.138215911256111,10.347379661893905,1
196.0,-13.138135360444904,10.350247544710488,1
197.0,-13.138161936910256,10.353124875746632,1
198.0,-13.1381924264385,10.36161571061213,1
199.0,-13.14101863777105,10.367326348241217,1
200.0,-13.146448890905516,10.367362353272865,1
201.0,-13.149218748732034,10.364491736685224,1
202.0,-13.146494643371303,10.358790502690837,1
203.0,-13.143734397943348,10.35592386826607,1
204.0,-13.138059135034284,10.353106309074207,1
205.0,-13.135398895501337,10.35879149412647,1
206.0,-13.146512641927437,10.367333716214779,1
207.0,-13.16044188005307,10.370235182154921,1
208.0,-13.1687918258774,10.364387665879706,1
209.0,-13.163258884920372,10.358806017395157,1
210.0,-13.16320892738631,10.364515014913842,1
211.0,-13.163289971918172,10.370284921885997,1
212.0,-13.163289558097238,10.370311638909618,1
213.0,-13.160508310580068,10.364490481070755,1
214.0,-13.16321953683497,10.358772964065082,1
215.0,-13.163253675976662,10.367354862871817,1
216.0,-13.163296414037069,10.375942972621617,1
217.0,-13.166001879099673,10.378734870410817,1
218.0,-13.168771181641464,10.370213223642654,1
219.0,-13.17438012137459,10.367387033428717,1
220.0,-13.17715111562366,10.373079646481704,1
221.0,-13.179896382489039,10.375914040415049,1
222.0,-13.18275229662554,10.373115663216414,1
223.0,-13.185463629765078,10.358811562252328,1
224.0,-13.18265217164222,10.347316483998497,1
225.0,-13.182688109546422,10.338779131693833,1
226.0,-13.18271276668113,10.338761893009337,1
227.0,-13.182718069381497,10.338839728098655,1
228.0,-13.182755877405432,10.338714767511737,1
229.0,-13.182696388335321,10.330341689342234,1
