n,x,y,lab
0.0,-14.756840563182937,9.518311000000002,0.0
1.0,-14.757827286980545,9.501178430927432,1.0
2.0,-14.766432668822196,9.492636409958994,1.0
3.0,-14.767362681279302,9.479865083691607,1.0
4.0,-14.770739325935862,9.48090554923982,1.0
5.0,-14.770066084722345,9.481687410617802,1.0
6.0,-14.778174211654708,9.483975772579015,1.0
7.0,-14.783135517718524,9.485397031869985,1.0
8.0,-14.779514362706031,9.477356256998018,1.0
9.0,-14.763852461189053,9.460673224381638,1.0
10.0,-14.750110208201107,9.44318456556426,1.0
11.0,-14.74146257321465,9.428412797374552,1.0
12.0,-14.744610170962387,9.428021497547853,1.0
13.0,-14.773314595423292,9.435793461441685,1.0
14.0,-14.806411709389613,9.438645690072805,1.0
15.0,-14.83810770252007,9.441390585596094,1.0
16.0,-14.82112652291049,9.449530943102427,1.0
17.0,-14.81246984541959,9.453687114612594,1.0
18.0,-14.812244519698899,9.450620646694302,1.0
19.0,-14.784309152891222,9.437126228635401,1.0
20.0,-14.75456548538158,9.418458517152768,1.0
21.0,-14.736291675591493,9.407049916679401,1.0
22.0,-14.737605300277073,9.395811276607628,1.0
23.0,-14.73888877040313,9.392179967158977,1.0
24.0,-14.740320909758937,9.399752917649945,1.0
25.0,-14.74088937377163,9.408926351334713,1.0
26.0,-14.732859696811804,9.41875489343967,1.0
27.0,-14.739542651375517,9.40551991951675,1.0
28.0,-14.747880276926809,9.40429170216644,1.0
29.0,-14.7562435054096,9.402104207670067,1.0
30.0,-14.757415443316884,9.394429805418977,1.0
31.0,-14.757674927134664,9.380834545352402,1.0
32.0,-14.757385545090594,9.363832700363234,1.0
33.0,-14.749529638951476,9.315762208693952,1.0
34.0,-14.742644385074795,9.275239951520968,1.0
35.0,-14.729946569107462,9.239840492487707,1.0
36.0,-14.728330547858405,9.236404618475937,1.0
37.0,-14.717173264367883,9.245643346993424,1.0
38.0,-14.710035403482395,9.252171658481458,1.0
39.0,-14.713060976160865,9.27194251929356,1.0
40.0,-14.708952181416977,9.280506994941344,1.0
41.0,-14.71739449887909,9.26590016887065,1.0
42.0,-14.719047025965482,9.244592282189583,1.0
43.0,-14.72467433361999,9.210665835507143,1.0
44.0,-14.721430869073323,9.193028381104744,1.0
45.0,-14.721468412293346,9.183382164647375,1.0
46.0,-14.736245472170335,9.18050604098875,1.0
47.0,-14.749343953525004,9.186114767461612,1.0
48.0,-14.75080187504342,9.154434389594577,1.0
49.0,-14.743650566176525,9.120035266206779,1.0
50.0,-14.732267794264809,9.10844917890589,1.0
51.0,-14.740267968550734,9.1181145714281,1.0
52.0,-14.75608280657104,9.13715377756305,1.0
53.0,-14.773512754826461,9.133684185061117,1.0
54.0,-14.793150757921868,9.145370011543243,1.0
55.0,-14.791350671236318,9.137267330872955,1.0
56.0,-14.797446850828742,9.126605938752991,1.0
57.0,-14.801610083269537,9.110251179890454,1.0
58.0,-14.806814616542226,9.096873451021033,1.0
59.0,-14.809329631515784,9.080551250234697,1.0
60.0,-14.80703484105025,9.049532553530355,1.0
61.0,-14.801817159511703,9.013219438170223,1.0
62.0,-14.798742224757124,9.001400868677948,1.0
63.0,-14.805879815592267,8.99913943726299,1.0
64.0,-14.801215098102784,9.011905768137968,1.0
65.0,-14.793007402968952,9.022315052829402,1.0
66.0,-14.773855055137508,9.016385121497457,1.0
67.0,-14.765009294108319,9.001248354049409,1.0
68.0,-14.757366025648395,8.979534922315542,1.0
69.0,-14.749562368817816,8.965605164582746,1.0
70.0,-14.732928852698098,8.949172556501779,1.0
71.0,-14.724353697245952,8.940599376003231,1.0
72.0,-14.756067635323493,8.938100597385462,1.0
73.0,-14.804156016402786,8.946622089559433,1.0
74.0,-14.834786303329352,8.94435969857301,1.0
75.0,-14.821444119331886,8.92984397156079,1.0
76.0,-14.81965989600238,8.916804306211011,1.0
77.0,-14.820060970516442,8.923374447461418,1.0
78.0,-14.817543076517486,8.91991486671689,1.0
79.0,-14.813332212775247,8.911196537769577,1.0
80.0,-14.811358909611748,8.900271901010438,1.0
81.0,-14.813309751261448,8.89442427189805,1.0
82.0,-14.814956856059085,8.891630968280538,1.0
83.0,-14.835629475669723,8.864036013489486,1.0
84.0,-14.856012748908931,8.837377277079646,1.0
85.0,-14.86203638514637,8.809585460530514,1.0
86.0,-14.842905206530336,8.801686769925086,1.0
87.0,-14.811273364672275,8.799199769320694,1.0
88.0,-14.759114779469993,8.775276036627881,1.0
89.0,-14.70759416512577,8.751826316991007,1.0
90.0,-14.647239589168603,8.735359434105309,2.0
91.0,-14.586160355274277,8.713270616076205,2.0
92.0,-14.466662429554468,8.662139910555506,2.0
93.0,-14.3512889786997,8.608168046906458,2.0
94.0,-14.218945631421455,8.59059212694206,2.0
95.0,-14.090779308140455,8.619858337586297,2.0
96.0,-13.914762092275517,8.645180480169495,2.0
97.0,-13.695996038246397,8.650184067997191,2.0
98.0,-13.45169378061427,8.62545675002894,2.0
99.0,-13.17486411127301,8.567222441237831,2.0
100.0,-12.895392969996532,8.528067547624277,2.0
101.0,-12.551974895173224,8.476959725454627,2.0
102.0,-12.301520658867108,8.45456470739336,2.0
103.0,-12.055307363413384,8.464288626587255,2.0
104.0,-11.851514327798832,8.51400885427782,2.0
105.0,-11.601497157562731,8.571454115374285,2.0
106.0,-11.357789461995777,8.584924405108913,2.0
107.0,-11.171430485705734,8.610870825696294,2.0
108.0,-10.996929798390763,8.641475021827667,2.0
109.0,-10.880409106154456,8.684727858724006,2.0
110.0,-10.797392729953113,8.703434050856185,2.0
111.0,-10.731292961040694,8.721884048166011,2.0
112.0,-10.686133562676755,8.738943877873503,1.0
113.0,-10.642258512120607,8.742079121828597,1.0
114.0,-10.651653062027997,8.732235770606216,1.0
115.0,-10.66146183482482,8.722099183474178,1.0
116.0,-10.662736303321372,8.701209861893071,1.0
117.0,-10.693532754429892,8.69593207630472,1.0
118.0,-10.745939629589454,8.678659623860437,1.0
119.0,-10.80710248785315,8.651839324012327,2.0
120.0,-10.866550175238974,8.628963183778028,2.0
121.0,-10.910156625527202,8.60431493656753,1.0
122.0,-10.950691493262767,8.608034213134877,1.0
123.0,-10.978218327578553,8.602744891604308,1.0
124.0,-10.99816936957047,8.61483551283844,1.0
125.0,-11.047406066452062,8.616976150286629,1.0
126.0,-11.091101838361938,8.621047222798616,1.0
127.0,-11.11000138688899,8.625281630730134,1.0
128.0,-11.113458183035263,8.633451115357332,1.0
129.0,-11.10978950292296,8.663745527065736,1.0
130.0,-11.108961196841781,8.696091815172277,1.0
131.0,-11.092358499697449,8.725373336354027,1.0
132.0,-11.071966735446695,8.735896537906545,1.0
133.0,-11.01600143165348,8.743107575145453,1.0
134.0,-10.949195220851887,8.74985721880338,2.0
135.0,-10.903747580703044,8.744986815067595,1.0
136.0,-10.895550423493399,8.741813569757781,1.0
137.0,-10.876575995382339,8.738844475644816,1.0
138.0,-10.842446590064517,8.736109350186421,1.0
139.0,-10.80999690263064,8.719370361327202,1.0
140.0,-10.796086827453834,8.707168515655175,1.0
141.0,-10.776520163321914,8.682502371921942,1.0
142.0,-10.758472271688152,8.667946995336884,1.0
143.0,-10.758668484416964,8.651475943771345,1.0
144.0,-10.75083915403015,8.647775954813067,1.0
145.0,-10.745735540135994,8.646137109885235,1.0
146.0,-10.742981365297013,8.647949243546766,1.0
147.0,-10.746023053700151,8.643444048492727,1.0
148.0,-10.748448424361255,8.648029953124245,1.0
149.0,-10.75907167018807,8.642657940990338,1.0
150.0,-10.758619842773387,8.635576631994098,1.0
151.0,-10.750997931929518,8.625961180492386,1.0
152.0,-10.742544279086975,8.627579268772987,1.0
153.0,-10.742671352232371,8.633472195226283,1.0
154.0,-10.745287329347523,8.648221023322847,1.0
155.0,-10.746402876813272,8.661595227392105,1.0
156.0,-10.739061616693709,8.656175521255747,1.0
157.0,-10.7309285541496,8.655974283869458,1.0
158.0,-10.738141955760998,8.647112816615646,1.0
159.0,-10.769080058657465,8.659590015632162,1.0
160.0,-10.797607436520638,8.689328004634909,1.0
161.0,-10.812501475347934,8.700849104364734,1.0
162.0,-10.793032702933191,8.715845361663078,1.0
163.0,-10.775483051623723,8.7210874080031,1.0
164.0,-10.770931227537021,8.69123201551887,1.0
165.0,-10.776638007211362,8.64860963973967,1.0
166.0,-10.772538375890067,8.611985102554064,1.0
167.0,-10.76704326032876,8.620825393688527,1.0
168.0,-10.780450668685708,8.63551324931686,1.0
169.0,-10.782297609037283,8.646411696694216,1.0
170.0,-10.786242256567938,8.65769454312838,1.0
171.0,-10.786550483658951,8.65680282081952,1.0
172.0,-10.80353653170002,8.66219051979918,1.0
173.0,-10.813386678113465,8.671594103057291,1.0
174.0,-10.825508981214876,8.675905238576497,1.0
175.0,-10.811735207911216,8.669151814173617,1.0
176.0,-10.80590521892542,8.6691941261488,1.0
177.0,-10.797635976201514,8.673695653282861,1.0
178.0,-10.804202905154886,8.672566205062616,1.0
179.0,-10.797732684682995,8.674966077245672,1.0
180.0,-10.790289750944776,8.673989938672932,1.0
181.0,-10.787165493567576,8.661831957095645,1.0
