n,x,y,lab
0.0,-16.20970261637287,6.214357000000007,0.0
1.0,-16.189104191960613,6.221786252071766,1.0
2.0,-16.187849461631796,6.235509073061763,1.0
3.0,-16.191370577521106,6.238953888454342,1.0
4.0,-16.192129063543963,6.234080667816775,1.0
5.0,-16.19793526586282,6.229561868320394,1.0
6.0,-16.210745041203744,6.231203704140125,1.0
7.0,-16.204512385405323,6.232452296408236,1.0
8.0,-16.188470177694857,6.231270238825151,1.0
9.0,-16.159548542645624,6.225678729183552,1.0
10.0,-16.14259956005327,6.2223691746363,1.0
11.0,-16.141394631420237,6.205637943373854,1.0
12.0,-16.152569133976208,6.185457965297653,1.0
13.0,-16.165209528480087,6.174371937856722,1.0
14.0,-16.160298418455536,6.203907768889578,1.0
15.0,-16.14952488187055,6.231583102813685,1.0
16.0,-16.152368775976747,6.243547623772905,1.0
17.0,-16.16378526695944,6.230607794868914,1.0
18.0,-16.164512809647352,6.222383462397842,1.0
19.0,-16.171327384521454,6.214452615414737,1.0
20.0,-16.15982208424578,6.211009256546748,1.0
21.0,-16.150208782693177,6.2060336327047265,1.0
22.0,-16.142476039915785,6.214345794582149,1.0
23.0,-16.14886436687171,6.211751001929094,1.0
24.0,-16.16180027733859,6.213089548982992,1.0
25.0,-16.16967492003317,6.21295251698585,1.0
26.0,-16.160800951409517,6.219748301179373,1.0
27.0,-16.154416933481308,6.2209004967922885,1.0
28.0,-16.157632775131066,6.217163073160994,1.0
29.0,-16.16313935626896,6.211163433141476,1.0
30.0,-16.15320256853634,6.1971297853500955,1.0
31.0,-16.133230881322817,6.1818142935133835,1.0
32.0,-16.127005733143392,6.188113285920756,1.0
33.0,-16.137575035009128,6.194218269764383,1.0
34.0,-16.18422410342658,6.191683511597888,1.0
35.0,-16.22392477106356,6.180546494470491,1.0
36.0,-16.200302748591046,6.167134858956287,1.0
37.0,-16.16521377882292,6.166460114856922,1.0
38.0,-16.12697623268574,6.159563474940116,1.0
39.0,-16.141770639388334,6.160732110177032,1.0
40.0,-16.161078303651088,6.160623614056444,1.0
41.0,-16.187740605438545,6.174345832851007,1.0
42.0,-16.20179193814079,6.181451517777562,1.0
43.0,-16.194435197847973,6.181924214717797,1.0
44.0,-16.18387736978431,6.204350544515953,1.0
45.0,-16.172252215464706,6.219000340208324,1.0
46.0,-16.164224560623218,6.230007141907031,1.0
47.0,-16.156274466021706,6.2175610448027765,1.0
48.0,-16.152581846546315,6.201881360871591,1.0
49.0,-16.144689943191636,6.202044364607138,1.0
50.0,-16.150808565827337,6.202187916945323,1.0
51.0,-16.149217710236705,6.201612221227013,1.0
52.0,-16.149900100157335,6.208952457517904,1.0
53.0,-16.146410561247674,6.21214778292401,1.0
54.0,-16.155724757596712,6.212384245665843,1.0
55.0,-16.164581809158054,6.21310856067043,1.0
56.0,-16.181691646485252,6.219541217168604,1.0
57.0,-16.18276927993986,6.220385504588128,1.0
58.0,-16.18743262336767,6.220054087544542,1.0
59.0,-16.166549298508514,6.211796518912566,1.0
60.0,-16.141693730133547,6.202184977729088,1.0
61.0,-16.122944837207648,6.20509013992141,1.0
62.0,-16.12313124465873,6.188155309586026,1.0
63.0,-16.12401847966455,6.1723996333654405,1.0
64.0,-16.12802019996275,6.15124342023339,1.0
65.0,-16.139032966140217,6.1573092969353675,1.0
66.0,-16.143310497212255,6.160993732786922,1.0
67.0,-16.150100321701963,6.157483936839643,1.0
68.0,-16.16260500232785,6.1638331344114645,1.0
69.0,-16.16407215596928,6.175318517685438,1.0
70.0,-16.165947956271392,6.184504355607867,1.0
71.0,-16.16225897008408,6.175218794194953,1.0
72.0,-16.15954041962809,6.16114004158261,1.0
