n,x,y,lab
0.0,-11.461493294945784,8.122971084363364,0.0
1.0,-11.47629417403306,8.12840161910489,1.0
2.0,-11.469816454910518,8.124518078410139,1.0
3.0,-11.46683026867802,8.123529591446339,1.0
4.0,-11.46961582647838,8.127234528677322,1.0
5.0,-11.467700667094382,8.13263606857479,1.0
6.0,-11.484356499566616,8.129305028308883,1.0
7.0,-11.48658323162477,8.103957828817336,1.0
8.0,-11.482616409580066,8.084802102857239,1.0
9.0,-11.468939810438524,8.072078334774734,1.0
10.0,-11.466565521341662,8.069528810731644,1.0
11.0,-11.473875516065156,8.090864479360668,1.0
12.0,-11.481999778291726,8.09310435820348,1.0
13.0,-11.472496144907064,8.102652787484873,1.0
14.0,-11.475424496143132,8.092959404829813,1.0
15.0,-11.481334688262542,8.101003702888866,1.0
16.0,-11.479524604131342,8.106709977870532,1.0
17.0,-11.466120283130442,8.11374092810683,1.0
18.0,-11.448394638588663,8.129023835405793,1.0
19.0,-11.439618817150127,8.147882940412721,1.0
20.0,-11.458293855639603,8.163060950350054,1.0
21.0,-11.47219278237817,8.160769572569595,1.0
22.0,-11.49388808542727,8.14676941734999,1.0
23.0,-11.492130519200506,8.12854948123976,1.0
24.0,-11.48877027042468,8.111737709377861,1.0
25.0,-11.482370781082828,8.114398691383007,1.0
26.0,-11.464813233115892,8.128419199744549,1.0
27.0,-11.412508070498665,8.138438266826206,2.0
28.0,-11.326504040201403,8.154683955709197,2.0
29.0,-11.218158829803034,8.162112967887266,2.0
30.0,-11.095551506229564,8.198503568695344,2.0
31.0,-10.966860373405455,8.230549090178412,2.0
32.0,-10.822571061419831,8.271674971614813,2.0
33.0,-10.705809581456956,8.260054255725473,2.0
34.0,-10.552772078342546,8.25026263542567,2.0
35.0,-10.441494440005272,8.234232851366418,2.0
36.0,-10.297352069039365,8.222890889455606,2.0
37.0,-10.178331819254034,8.211110719501633,2.0
38.0,-10.075497203678934,8.203281446270761,2.0
39.0,-10.000685473715233,8.205882941796377,2.0
40.0,-9.965839010582428,8.188328233769614,1.0
41.0,-9.945857175435764,8.167836902803637,1.0
42.0,-9.939998345552414,8.143848320480206,1.0
43.0,-9.938560595765415,8.139842001430273,1.0
44.0,-9.976035028379343,8.137074940587015,1.0
45.0,-10.01583758447887,8.137378884494211,1.0
46.0,-10.048084601317594,8.147764621098052,1.0
47.0,-10.050548470374089,8.13898882009814,1.0
48.0,-10.067427952421186,8.125127747927433,1.0
49.0,-10.062226566983618,8.103351744687435,1.0
50.0,-10.072567631799197,8.101685200319654,1.0
51.0,-10.089490398953377,8.120680401214361,1.0
52.0,-10.100288143403965,8.13306487347806,1.0
53.0,-10.109858096901792,8.14375468638118,1.0
54.0,-10.120851657366554,8.143916608721556,1.0
55.0,-10.122229983227697,8.153189941275201,1.0
56.0,-10.138640867344959,8.157143002655108,1.0
57.0,-10.145554635645354,8.171113368183144,1.0
